s_name,0.5%,2.5%,5%,10%,15%,20%,25%,30%,35%,40%,50%,60%,65%,70%,75%,80%,85%,90%,95%,97.5%,99.5%
s_w,0.00982193075,0.0148010175,0.02173827,0.03615142,0.04902531,0.06522732,0.08284565,0.09989754,0.11663015,0.1332476,0.1640925,0.19233,0.2039977,0.2157701,0.22645,0.2349266,0.2426707,0.2497995,0.2594064,0.2668727,0.279719425
s_b_ex,0.050582184,0.0581397775,0.06225061,0.06785581,0.071802765,0.0747946,0.077940125,0.08064803,0.083009395,0.08578338,0.09104595,0.09696906,0.10031085,0.1036431,0.107473,0.1118652,0.1177426,0.12588,0.1375056,0.1484104,0.171931125
s_Y,0.011280511,0.0250574475,0.034979015,0.05697615,0.083950295,0.1052018,0.12287825,0.1396736,0.1553148,0.1697722,0.1984185,0.2194632,0.22821355,0.2355289,0.24133025,0.2462508,0.2520375,0.2579455,0.2660711,0.2719492,0.282601335
