time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.131547,-0.131547,
-27,0,-0.03205485,-0.03205485,
-26,0,0.0267653,0.0267653,
-25,0,0.2023945,0.2023945,
-24,0,0.05095365,0.05095365,
-23,0,0.000869875,0.000869875,
-22,0,0.1421365,0.1421365,
-21,0,0.1162245,0.1162245,
-20,0,0.07279675,0.07279675,
-19,0,0.179112,0.179112,
-18,0,0.1455575,0.1455575,
-17,0,0.06499495,0.06499495,
-16,0,0.0603124,0.0603124,
-15,0,0.06631535,0.06631535,
-14,0,0.1953095,0.1953095,
-13,0,-0.0735862,-0.0735862,
-12,0,-0.06025415,-0.06025415,
-11,0,-0.01105375,-0.01105375,
-10,0,0.05029405,0.05029405,
-9,0,-0.04043155,-0.04043155,
-8,0,0.0334631,0.0334631,
-7,0,-0.153709,-0.153709,
-6,0,-0.109758,-0.109758,
-5,0,-0.02464665,-0.02464665,
-4,0,0.28761,0.28761,
-3,0,0.0309976,0.0309976,
-2,0,0.176365,0.176365,
-1,0,0.2409115,0.2409115,
0,0,0.0198165,0.0198165,
1,1,-0.0913867,-0.101565,-0.004905985
2,1,0.0374826,0.0476256,-0.001050215
3,1,0.0524198,0.07003925,-0.000643488
4,1,-0.0288894,-0.04836025,-0.008474445
5,1,0.0005406295,-0.002036265,-0.00790407
6,1,0.0167402,0.0227447,-0.009512715
7,1,0.0661182,0.07123105,-0.01348055
8,1,0.085182,0.07800045,-0.02927775
9,1,0.09549275,0.06301175,-0.05318075
10,1,-0.105033,-0.207185,-0.08741375
11,1,0.0006418225,-0.1094855,-0.110463
12,1,0.06592605,-0.0472858,-0.1300165
13,1,-0.00956495,-0.1798255,-0.161491
14,1,-0.057324,-0.26499,-0.1915345
15,1,0.0171151,-0.1836195,-0.2128785
16,1,0.0472359,-0.173744,-0.2366575
17,1,-0.03558305,-0.3256835,-0.2704615
18,1,-0.0481718,-0.368308,-0.299067
19,1,-0.0845211,-0.4334425,-0.32177
20,1,-0.03646595,-0.3941855,-0.3347605
21,1,-0.144009,-0.510814,-0.3418455
22,1,0.008526905,-0.3130325,-0.331412
23,1,-0.046374,-0.3901605,-0.3223475
24,1,0.0371317,-0.257135,-0.309718
25,1,-0.0970951,-0.422091,-0.301988
26,1,-0.0542626,-0.3562735,-0.282872
27,1,-0.0446631,-0.318775,-0.255593
28,1,0.0394347,-0.1697925,-0.2233255
29,1,0.0807124,-0.0967615,-0.196282
30,1,0.0453818,-0.120589,-0.1811305
31,1,0.0694085,-0.083631,-0.170427
32,1,0.008036755,-0.154186,-0.169133
33,1,-0.02081005,-0.2046655,-0.170041
34,1,-0.162315,-0.3380605,-0.1677055
35,1,0.08815035,-0.03720335,-0.1449435
36,1,0.0137865,-0.1075495,-0.132702
37,1,0.03326705,-0.07015305,-0.121805
38,1,0.0244752,-0.07506185,-0.114003
39,1,0.03740815,-0.0550806,-0.106726
40,1,-0.07285375,-0.197268,-0.10809
41,1,0.01124705,-0.0773362,-0.100217
42,1,-0.02676295,-0.135216,-0.09297055
43,1,0.01195435,-0.06011885,-0.08324465
44,1,-0.000200088,-0.07258155,-0.07400475
45,1,0.00408353,-0.05401205,-0.06473385
46,1,0.01478005,-0.0298613,-0.0550278
47,1,0.03431625,0.001531865,-0.0499646
48,1,-0.027313,-0.0877399,-0.04940505
49,1,0.03140705,0.003603635,-0.04437255
50,1,0.0101436,-0.02701745,-0.0445773
51,1,0.0157702,-0.0178142,-0.0440429
52,1,-0.0753556,-0.138679,-0.0480684
53,1,0.09166255,0.0682022,-0.03914085
54,1,-0.09222185,-0.1515615,-0.04202385
55,1,0.0358191,0.01834435,-0.0357256
56,1,0.00208315,-0.03049845,-0.03599925
57,1,0.0349539,0.0127037,-0.03605225
58,1,-0.05827855,-0.112712,-0.04039955
59,1,0.02011725,-0.004443815,-0.0352195
60,1,-0.002954135,-0.04033605,-0.032644
61,1,-0.00542322,-0.04411945,-0.0306277
62,1,-0.0416288,-0.0891993,-0.0300166
63,1,0.03414345,0.03022475,-0.02137575
64,1,-0.0178651,-0.0492283,-0.01804235
65,1,-0.0001510065,-0.01207815,-0.01299255
66,1,-0.03111335,-0.05533695,-0.00728511
67,1,0.0033511,0.0102206,0.001436715
68,1,-0.00234369,0.00707579,0.0122291
69,1,0.06064675,0.1008715,0.0205003
70,1,-0.008890395,0.008390215,0.0241004
71,1,0.06301775,0.107268,0.02780855
72,1,-0.005586275,0.0103561,0.02281595
73,1,-0.02005625,-0.0130505,0.02053175
74,1,-0.033703,-0.02584635,0.02062275
75,1,0.004847395,0.0387458,0.02645175
76,1,-0.007518365,0.01207595,0.02780315
77,1,-0.00153398,0.0300274,0.0340263
78,1,0.00181385,0.04209365,0.03903755
79,1,0.0147257,0.07032055,0.04419505
80,1,-0.00440263,0.03678375,0.04616525
81,1,-0.013895,0.03074655,0.05114795
82,1,0.03921525,0.113084,0.0579798
83,1,-0.000630643,0.05973385,0.05894865
84,1,-0.03558005,0.00993884,0.059273
85,1,0.00561426,0.0752212,0.0639425
86,1,0.0558472,0.140972,0.0681874
87,1,0.02555545,0.106072,0.0663523
88,1,-0.0204867,0.0235499,0.0598383
89,1,-0.0195429,0.0202548,0.05516535
90,1,-0.00107814,0.04901095,0.05305345
