s_name,0.5%,2.5%,5%,10%,15%,20%,25%,30%,35%,40%,50%,60%,65%,70%,75%,80%,85%,90%,95%,97.5%,99.5%
s_w,0.0024438454,0.00255643,0.002583,0.00264838,0.00273911,0.003176934,0.0070283875,0.01776647,0.03163144,0.04532318,0.08088855,0.115458,0.13186635,0.1452979,0.157138,0.1695932,0.17965055,0.1884537,0.20051865,0.20827305,0.222735025
s_b_ex,0.029780024,0.03594131,0.03914952,0.04332545,0.046831385,0.0478028,0.0487338,0.0501361,0.050919345,0.0514913,0.05457665,0.0593665,0.061904285,0.06465113,0.067710725,0.07109106,0.07506952,0.08111433,0.089839685,0.09871012,0.113903885
s_Y,0.017648084,0.027477305,0.03800864,0.06591505,0.08789796,0.1047618,0.12161525,0.1365764,0.14951505,0.1607738,0.1783365,0.189467,0.19419225,0.198974,0.202035,0.205043,0.209023,0.21343,0.219073,0.2207865,0.229595625
