time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,-0.134946710000001,-0.337960235,-0.277612325,-0.2372512,-0.1876817,-0.16517155,-0.1486848,-0.1371615,-0.1259544,-0.1145176,-0.100918,-0.0676833,-0.03746172,-0.02220201,-0.009845068,0.0019277025,0.01329154,0.03382079,0.0580997,0.097932655,0.13397875,0.20354431,-0.337960235,-0.277612325,-0.2372512,-0.1876817,-0.16517155,-0.1486848,-0.1371615,-0.1259544,-0.1145176,-0.100918,-0.0676833,-0.03746172,-0.02220201,-0.009845068,0.0019277025,0.01329154,0.03382079,0.0580997,0.097932655,0.13397875,0.20354431,,,,,,,,,,,,,,,,,,,,,
-27,0,0,-0.26761659,-0.197807825,-0.1532393,-0.1148863,-0.08632884,-0.06647414,-0.050524925,-0.03687299,-0.02540319,-0.0148677,-0.0004848215,0.01538304,0.02501737,0.03831545,0.0536207,0.07009236,0.087589555,0.1152469,0.16170165,0.198695125,0.260882405,-0.26761659,-0.197807825,-0.1532393,-0.1148863,-0.08632884,-0.06647414,-0.050524925,-0.03687299,-0.02540319,-0.0148677,-0.0004848215,0.01538304,0.02501737,0.03831545,0.0536207,0.07009236,0.087589555,0.1152469,0.16170165,0.198695125,0.260882405,,,,,,,,,,,,,,,,,,,,,
-26,0,0.134946710000001,-0.203220525,-0.13793045,-0.09713996,-0.05972109,-0.033372645,-0.01684638,-0.00276527,0.008811516,0.022260575,0.03628328,0.0654319,0.09808454,0.11455055,0.1276465,0.13910375,0.153704,0.17030255,0.1931566,0.2318791,0.269318125,0.351018935,-0.203220525,-0.13793045,-0.09713996,-0.05972109,-0.033372645,-0.01684638,-0.00276527,0.008811516,0.022260575,0.03628328,0.0654319,0.09808454,0.11455055,0.1276465,0.13910375,0.153704,0.17030255,0.1931566,0.2318791,0.269318125,0.351018935,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.134946710000001,-0.3443402,-0.265755925,-0.23010215,-0.1876227,-0.16398095,-0.1460508,-0.1346385,-0.1235127,-0.11010705,-0.09488738,-0.0641235,-0.03401036,-0.01828168,-0.00697721600000002,0.0031700675,0.01704968,0.034464945,0.05959867,0.10084115,0.12816145,0.204695405,-0.3443402,-0.265755925,-0.23010215,-0.1876227,-0.16398095,-0.1460508,-0.1346385,-0.1235127,-0.11010705,-0.09488738,-0.0641235,-0.03401036,-0.01828168,-0.00697721600000002,0.0031700675,0.01704968,0.034464945,0.05959867,0.10084115,0.12816145,0.204695405,,,,,,,,,,,,,,,,,,,,,
-24,0,0,-0.263132125,-0.197974275,-0.1638733,-0.1161383,-0.090730145,-0.06914254,-0.052183375,-0.03578663,-0.024590135,-0.01467402,0.00018109,0.01583108,0.02656114,0.03716978,0.0492272,0.06676734,0.086119015,0.111917,0.1560768,0.19675575,0.26840657,-0.263132125,-0.197974275,-0.1638733,-0.1161383,-0.090730145,-0.06914254,-0.052183375,-0.03578663,-0.024590135,-0.01467402,0.00018109,0.01583108,0.02656114,0.03716978,0.0492272,0.06676734,0.086119015,0.111917,0.1560768,0.19675575,0.26840657,,,,,,,,,,,,,,,,,,,,,
-23,0,-0.26175458,-0.44113267,-0.36030325,-0.3270509,-0.2909651,-0.2700749,-0.256432,-0.240114,-0.2206639,-0.1987448,-0.1780268,-0.134872,-0.08864046,-0.06654762,-0.04717793,-0.027614325,-0.01118078,0.00481224150000001,0.02588524,0.0612833799999999,0.0927032175,0.148810375,-0.44113267,-0.36030325,-0.3270509,-0.2909651,-0.2700749,-0.256432,-0.240114,-0.2206639,-0.1987448,-0.1780268,-0.134872,-0.08864046,-0.06654762,-0.04717793,-0.027614325,-0.01118078,0.00481224150000001,0.02588524,0.0612833799999999,0.0927032175,0.148810375,,,,,,,,,,,,,,,,,,,,,
-22,0,-0.133275489999999,-0.349455125,-0.270082875,-0.2348539,-0.192247,-0.16927905,-0.1505744,-0.13700975,-0.1246543,-0.1120088,-0.09829778,-0.0690049,-0.038256,-0.020848955,-0.00797584300000001,0.0035455425,0.0181055200000001,0.036282835,0.06088129,0.0946174349999999,0.126218425,0.186751600000001,-0.349455125,-0.270082875,-0.2348539,-0.192247,-0.16927905,-0.1505744,-0.13700975,-0.1246543,-0.1120088,-0.09829778,-0.0690049,-0.038256,-0.020848955,-0.00797584300000001,0.0035455425,0.0181055200000001,0.036282835,0.06088129,0.0946174349999999,0.126218425,0.186751600000001,,,,,,,,,,,,,,,,,,,,,
-21,0,0.133275489999999,-0.200927795,-0.12848735,-0.09336516,-0.05329091,-0.031562465,-0.0144339,-0.00142364,0.01165595,0.022934295,0.03721536,0.06819255,0.09957832,0.11363565,0.1250307,0.13546825,0.1479124,0.1663787,0.1896328,0.22797585,0.268466675,0.343392675,-0.200927795,-0.12848735,-0.09336516,-0.05329091,-0.031562465,-0.0144339,-0.00142364,0.01165595,0.022934295,0.03721536,0.06819255,0.09957832,0.11363565,0.1250307,0.13546825,0.1479124,0.1663787,0.1896328,0.22797585,0.268466675,0.343392675,,,,,,,,,,,,,,,,,,,,,
-20,0,-0.52742834,-0.615698515,-0.558745725,-0.54072175,-0.5208465,-0.49803625,-0.4719842,-0.4401895,-0.4025683,-0.3673457,-0.3291918,-0.2630295,-0.1871144,-0.14772245,-0.1159694,-0.0787018,-0.05055662,-0.022634305,-0.003802395,0.019613675,0.04860713,0.0960961015000003,-0.615698515,-0.558745725,-0.54072175,-0.5208465,-0.49803625,-0.4719842,-0.4401895,-0.4025683,-0.3673457,-0.3291918,-0.2630295,-0.1871144,-0.14772245,-0.1159694,-0.0787018,-0.05055662,-0.022634305,-0.003802395,0.019613675,0.04860713,0.0960961015000003,,,,,,,,,,,,,,,,,,,,,
-19,0,0.13153039,-0.22479752,-0.134477525,-0.094711625,-0.05544017,-0.0307033,-0.01218426,-4.2755925e-06,0.01149413,0.025395505,0.03999476,0.07169515,0.09984194,0.1150826,0.127366,0.13894825,0.1531158,0.17080985,0.1960098,0.23839265,0.279428175,0.347792230000001,-0.22479752,-0.134477525,-0.094711625,-0.05544017,-0.0307033,-0.01218426,-4.2755925e-06,0.01149413,0.025395505,0.03999476,0.07169515,0.09984194,0.1150826,0.127366,0.13894825,0.1531158,0.17080985,0.1960098,0.23839265,0.279428175,0.347792230000001,,,,,,,,,,,,,,,,,,,,,
