time,ex,Y,w_0.5%,w_2.5%,w_5%,w_10%,w_15%,w_20%,w_25%,w_30%,w_35%,w_40%,w_50%,w_60%,w_65%,w_70%,w_75%,w_80%,w_85%,w_90%,w_95%,w_97.5%,w_99.5%,alpha_0.5%,alpha_2.5%,alpha_5%,alpha_10%,alpha_15%,alpha_20%,alpha_25%,alpha_30%,alpha_35%,alpha_40%,alpha_50%,alpha_60%,alpha_65%,alpha_70%,alpha_75%,alpha_80%,alpha_85%,alpha_90%,alpha_95%,alpha_97.5%,alpha_99.5%,b_ex_0.5%,b_ex_2.5%,b_ex_5%,b_ex_10%,b_ex_15%,b_ex_20%,b_ex_25%,b_ex_30%,b_ex_35%,b_ex_40%,b_ex_50%,b_ex_60%,b_ex_65%,b_ex_70%,b_ex_75%,b_ex_80%,b_ex_85%,b_ex_90%,b_ex_95%,b_ex_97.5%,b_ex_99.5%
-28,0,0.209090680000001,-0.146616645,-0.0840900625,-0.053338865,-0.02409213,-0.008800374,0.00440262,0.01745825,0.03284313,0.047463715,0.06610332,0.102805,0.1429332,0.16247525,0.1794451,0.19499925,0.207003,0.21175445,0.2277092,0.25686465,0.2884221,0.348265105,-0.146616645,-0.0840900625,-0.053338865,-0.02409213,-0.008800374,0.00440262,0.01745825,0.03284313,0.047463715,0.06610332,0.102805,0.1429332,0.16247525,0.1794451,0.19499925,0.207003,0.21175445,0.2277092,0.25686465,0.2884221,0.348265105,,,,,,,,,,,,,,,,,,,,,
-27,0,0.206854479999999,-0.140731185,-0.077269865,-0.051730845,-0.02369798,-0.005842515,0.00646522400000001,0.0183377,0.03222573,0.04811408,0.06385622,0.1023685,0.1431892,0.1610048,0.179043,0.19417525,0.2043426,0.20960355,0.2246349,0.25236985,0.276571175,0.325313025,-0.140731185,-0.077269865,-0.051730845,-0.02369798,-0.005842515,0.00646522400000001,0.0183377,0.03222573,0.04811408,0.06385622,0.1023685,0.1431892,0.1610048,0.179043,0.19417525,0.2043426,0.20960355,0.2246349,0.25236985,0.276571175,0.325313025,,,,,,,,,,,,,,,,,,,,,
-26,0,-0.41594516,-0.51070502,-0.463493675,-0.4337329,-0.4174338,-0.40956935,-0.3890568,-0.366533,-0.3389555,-0.3076731,-0.2791156,-0.208424,-0.138474,-0.10882615,-0.0828111,-0.053744625,-0.03442544,-0.0158115,0.001065297,0.02210893,0.0482081725,0.10257041,-0.51070502,-0.463493675,-0.4337329,-0.4174338,-0.40956935,-0.3890568,-0.366533,-0.3389555,-0.3076731,-0.2791156,-0.208424,-0.138474,-0.10882615,-0.0828111,-0.053744625,-0.03442544,-0.0158115,0.001065297,0.02210893,0.0482081725,0.10257041,,,,,,,,,,,,,,,,,,,,,
-25,0,-0.20682991,-0.334084155,-0.2776949,-0.25179635,-0.2247035,-0.2103915,-0.205237,-0.19338575,-0.1784331,-0.16090035,-0.1426704,-0.103176,-0.06544366,-0.048550705,-0.03270882,-0.019455225,-0.00590957199999998,0.0083230305,0.02336162,0.053320925,0.07703088,0.135458245,-0.334084155,-0.2776949,-0.25179635,-0.2247035,-0.2103915,-0.205237,-0.19338575,-0.1784331,-0.16090035,-0.1426704,-0.103176,-0.06544366,-0.048550705,-0.03270882,-0.019455225,-0.00590957199999998,0.0083230305,0.02336162,0.053320925,0.07703088,0.135458245,,,,,,,,,,,,,,,,,,,,,
-24,0,0,-0.22616828,-0.164047525,-0.1288223,-0.09143283,-0.07089908,-0.05478692,-0.042123925,-0.03203942,-0.02228731,-0.01342504,-0.0007178625,0.009411384,0.016886065,0.02588338,0.036452325,0.05032122,0.067785875,0.08927962,0.12553895,0.163236275,0.23069292,-0.22616828,-0.164047525,-0.1288223,-0.09143283,-0.07089908,-0.05478692,-0.042123925,-0.03203942,-0.02228731,-0.01342504,-0.0007178625,0.009411384,0.016886065,0.02588338,0.036452325,0.05032122,0.067785875,0.08927962,0.12553895,0.163236275,0.23069292,,,,,,,,,,,,,,,,,,,,,
-23,0,0,-0.206320155,-0.150528825,-0.11671755,-0.08599683,-0.06467181,-0.04871604,-0.036515375,-0.02575555,-0.01669731,-0.009017586,0.000535512,0.01217014,0.02056831,0.02926626,0.040281625,0.05483676,0.070043105,0.09188487,0.13221655,0.165092475,0.2190712,-0.206320155,-0.150528825,-0.11671755,-0.08599683,-0.06467181,-0.04871604,-0.036515375,-0.02575555,-0.01669731,-0.009017586,0.000535512,0.01217014,0.02056831,0.02926626,0.040281625,0.05483676,0.070043105,0.09188487,0.13221655,0.165092475,0.2190712,,,,,,,,,,,,,,,,,,,,,
-22,0,0,-0.21766205,-0.153562475,-0.1249763,-0.09288798,-0.070303045,-0.05491888,-0.041236325,-0.03022135,-0.020768205,-0.0128612,-0.0008434985,0.00947843400000001,0.017186745,0.02601425,0.037117975,0.0498879400000001,0.066155165,0.08940571,0.1282018,0.154571525,0.2337941,-0.21766205,-0.153562475,-0.1249763,-0.09288798,-0.070303045,-0.05491888,-0.041236325,-0.03022135,-0.020768205,-0.0128612,-0.0008434985,0.00947843400000001,0.017186745,0.02601425,0.037117975,0.0498879400000001,0.066155165,0.08940571,0.1282018,0.154571525,0.2337941,,,,,,,,,,,,,,,,,,,,,
-21,0,0,-0.223334375,-0.15440905,-0.1245852,-0.08624227,-0.06428397,-0.0488291,-0.036495175,-0.02554006,-0.016025325,-0.00928989599999999,0.0009959905,0.01350094,0.021702955,0.03159564,0.041692575,0.0543324000000001,0.06888439,0.09104117,0.1283787,0.1570689,0.22196851,-0.223334375,-0.15440905,-0.1245852,-0.08624227,-0.06428397,-0.0488291,-0.036495175,-0.02554006,-0.016025325,-0.00928989599999999,0.0009959905,0.01350094,0.021702955,0.03159564,0.041692575,0.0543324000000001,0.06888439,0.09104117,0.1283787,0.1570689,0.22196851,,,,,,,,,,,,,,,,,,,,,
-20,0,0.21135052,-0.132638285,-0.0771748575,-0.050248095,-0.02441222,-0.0069968925,0.00595958600000001,0.018666725,0.03185186,0.049103965,0.06642918,0.102756,0.1430222,0.16258465,0.1828561,0.198692,0.20899,0.2141825,0.2307805,0.26046185,0.28632125,0.361432245,-0.132638285,-0.0771748575,-0.050248095,-0.02441222,-0.0069968925,0.00595958600000001,0.018666725,0.03185186,0.049103965,0.06642918,0.102756,0.1430222,0.16258465,0.1828561,0.198692,0.20899,0.2141825,0.2307805,0.26046185,0.28632125,0.361432245,,,,,,,,,,,,,,,,,,,,,
-19,0,-0.21135052,-0.34950948,-0.2863582,-0.25621645,-0.2281588,-0.21397,-0.2089412,-0.19715225,-0.1815565,-0.1623692,-0.1439346,-0.104918,-0.06770456,-0.04989436,-0.03507633,-0.019613475,-0.00676361599999999,0.00711373900000002,0.02454434,0.054121695,0.0861462625000001,0.142124065,-0.34950948,-0.2863582,-0.25621645,-0.2281588,-0.21397,-0.2089412,-0.19715225,-0.1815565,-0.1623692,-0.1439346,-0.104918,-0.06770456,-0.04989436,-0.03507633,-0.019613475,-0.00676361599999999,0.00711373900000002,0.02454434,0.054121695,0.0861462625000001,0.142124065,,,,,,,,,,,,,,,,,,,,,
