s_name,0.5%,2.5%,5%,10%,15%,20%,25%,30%,35%,40%,50%,60%,65%,70%,75%,80%,85%,90%,95%,97.5%,99.5%
s_w,0.008085394,0.015730595,0.025411335,0.04811218,0.063093425,0.07792676,0.09321615,0.1081278,0.12549625,0.139005,0.1640395,0.1868516,0.19563565,0.2034227,0.20949425,0.2149486,0.21954985,0.225509,0.23261825,0.238111675,0.248565505
s_b_ex,0.054742474,0.0613327975,0.06546523,0.0724475,0.076898935,0.08084742,0.08428985,0.08772482,0.090625105,0.09404684,0.100338,0.1067168,0.11074435,0.1145325,0.1185325,0.1241596,0.12954975,0.1371973,0.14980775,0.162061075,0.1913108
s_Y,0.0117888715,0.01592636,0.020851395,0.02995818,0.043474035,0.0602277,0.0793188,0.09555102,0.1103287,0.1261116,0.1552695,0.1774412,0.18756435,0.1972422,0.20381825,0.2110966,0.216662,0.2222509,0.22970425,0.23579805,0.24876179
