time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.02903855,-0.02903855,
-27,0,-0.21346,-0.21346,
-26,0,0.03098685,0.03098685,
-25,0,-0.09639865,-0.09639865,
-24,0,-0.09740985,-0.09740985,
-23,0,-0.0606823,-0.0606823,
-22,0,-0.141069,-0.141069,
-21,0,-0.247407,-0.247407,
-20,0,-0.103638,-0.103638,
-19,0,-0.114413,-0.114413,
-18,0,-0.03820215,-0.03820215,
-17,0,-0.2083535,-0.2083535,
-16,0,-0.08329845,-0.08329845,
-15,0,0.0003419015,0.0003419015,
-14,0,-0.09420935,-0.09420935,
-13,0,0.287233,0.287233,
-12,0,-0.04888975,-0.04888975,
-11,0,-0.0984981,-0.0984981,
-10,0,-0.0010005485,-0.0010005485,
-9,0,-0.2413695,-0.2413695,
-8,0,-0.2961725,-0.2961725,
-7,0,0.143796,0.143796,
-6,0,-0.199561,-0.199561,
-5,0,0.09246575,0.09246575,
-4,0,-0.00219504,-0.00219504,
-3,0,-0.00200889,-0.00200889,
-2,0,-0.04233325,-0.04233325,
-1,0,0.00256585,0.00256585,
0,0,-0.0931881,-0.0931881,
1,1,-0.182659,-0.214762,-0.0269484
2,1,-0.0682054,-0.1298405,-0.0449054
3,1,0.0571044,0.005044535,-0.05757355
4,1,-0.0156277,-0.1048975,-0.07497125
5,1,-0.003938095,-0.102585,-0.09270245
6,1,0.0337138,-0.06186195,-0.109801
7,1,0.1449305,0.02116575,-0.1277435
8,1,0.004609345,-0.153201,-0.157283
9,1,-0.2110495,-0.421349,-0.1896465
10,1,-0.09845155,-0.340701,-0.206397
11,1,-0.1490465,-0.3992125,-0.2191755
12,1,-0.1506825,-0.400801,-0.2229615
13,1,-0.008422645,-0.2338235,-0.214289
14,1,0.1343455,-0.0620568,-0.2049015
15,1,-0.008343355,-0.227304,-0.20571
16,1,-0.007696165,-0.226971,-0.205971
17,1,-0.0596347,-0.293838,-0.2087105
18,1,-0.06549195,-0.295592,-0.206199
19,1,-0.09660325,-0.3217085,-0.1969395
20,1,-0.07171665,-0.277912,-0.184551
21,1,0.0544835,-0.0933949,-0.165191
22,1,-0.0862526,-0.254384,-0.1503515
23,1,0.0410071,-0.07468235,-0.131325
24,1,0.103239,0.00122107,-0.1160445
25,1,-0.04019425,-0.164043,-0.1063035
26,1,0.0297073,-0.048433,-0.09490425
27,1,-0.045754,-0.1447005,-0.08430035
28,1,0.0188355,-0.03729645,-0.07076715
29,1,0.104241,0.0612861,-0.0583481
30,1,0.07846545,0.0448579,-0.0518718
31,1,-0.05994205,-0.120411,-0.05148395
32,1,0.0804144,0.0544191,-0.0469255
33,1,0.0116238,-0.0213477,-0.0453187
34,1,0.0108551,-0.0261826,-0.04411255
35,1,0.0120115,-0.025785,-0.047697
36,1,-0.1351825,-0.196761,-0.05116555
37,1,0.0119802,-0.02107465,-0.04544225
38,1,0.0113014,-0.0213153,-0.04140975
39,1,0.08737335,0.0707326,-0.0354704
40,1,-0.0617136,-0.1177765,-0.0365996
41,1,0.02309855,0.00423444,-0.0332616
42,1,-0.00312892,-0.03763455,-0.0318276
43,1,0.008875485,-0.01294265,-0.0290896
44,1,0.007332065,-0.01510225,-0.0269731
45,1,-0.0528929,-0.0986639,-0.02703865
46,1,-0.07150245,-0.1110945,-0.02176465
47,1,0.1545235,0.1566295,-0.013832
48,1,0.00278811,-0.00636314,-0.01388235
49,1,-0.07341675,-0.1050515,-0.01621685
50,1,0.00409804,-0.007811555,-0.01429435
51,1,0.0116106,0.01179875,-0.010928
52,1,0.00177092,-0.004879645,-0.008226755
53,1,-0.05540575,-0.0761064,-0.00648634
54,1,0.000885036,-0.000496387,0.001395325
55,1,0.144374,0.1632285,0.00672691
56,1,-0.0812081,-0.09239425,0.005696935
57,1,0.0007995315,0.008499795,0.006682515
58,1,0.07433285,0.1054185,0.01072875
59,1,-0.001769265,0.005760305,0.00909502
60,1,-0.06016325,-0.0691321,0.006615765
61,1,-0.00484307,0.00346878,0.0106599
62,1,-0.001868015,0.009978065,0.01414795
63,1,0.04876265,0.08756455,0.01845025
64,1,-0.004162375,0.0139838,0.0179749
65,1,0.06808745,0.1076675,0.02057775
66,1,-0.003544725,0.00904589,0.01594275
67,1,-5.26514e-05,0.009475665,0.01137145
68,1,-0.0578881,-0.06588505,0.00776973
69,1,-0.00289596,0.002842195,0.00665224
70,1,0.0526247,0.078235,0.00784964
71,1,-0.0008532355,0.002921135,0.00607274
72,1,0.01952065,0.03395895,0.003105395
73,1,-0.001801435,-0.001762985,0.0008780485
74,1,-0.08143315,-0.100654,-0.002797605
75,1,0.05705205,0.06940635,-0.003229345
76,1,0.00226925,-0.00179851,-0.005869505
77,1,-0.04936605,-0.07782755,-0.00882891
78,1,-0.0768759,-0.105109,-0.00900631
79,1,0.003119615,-0.004410075,-0.00347217
80,1,-0.002529585,-0.000978919,0.001983075
81,1,-3.78411e-05,0.004712925,0.00734606
82,1,0.07579755,0.1043585,0.01334435
83,1,-0.01895445,-0.02127185,0.01360095
84,1,-0.00372091,0.0067573,0.014354
85,1,-0.004040405,0.009932825,0.01561615
86,1,0.0731739,0.109899,0.0167538
87,1,-0.00639618,0.005101885,0.0170081
88,1,-0.00455142,0.00738522,0.01437845
89,1,-0.003028125,0.00739605,0.0141044
90,1,-0.0046441,0.005488345,0.0137074
