time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,0.0519513,0.0519513,
-27,0,-0.06294965,-0.06294965,
-26,0,-0.243257,-0.243257,
-25,0,-0.0493734,-0.0493734,
-24,0,-0.04683155,-0.04683155,
-23,0,0.0531258,0.0531258,
-22,0,0.123905,0.123905,
-21,0,-0.0500225,-0.0500225,
-20,0,0.000160622,0.000160622,
-19,0,0.262143,0.262143,
-18,0,-0.001641585,-0.001641585,
-17,0,-0.01800345,-0.01800345,
-16,0,-0.0680283,-0.0680283,
-15,0,0.05450515,0.05450515,
-14,0,0.2435995,0.2435995,
-13,0,0.05937075,0.05937075,
-12,0,-0.06109815,-0.06109815,
-11,0,0.186833,0.186833,
-10,0,-0.2465865,-0.2465865,
-9,0,-0.0547771,-0.0547771,
-8,0,-0.1221745,-0.1221745,
-7,0,-0.121587,-0.121587,
-6,0,0.0467191,0.0467191,
-5,0,-0.119791,-0.119791,
-4,0,0.1213235,0.1213235,
-3,0,-0.002927905,-0.002927905,
-2,0,0.06293255,0.06293255,
-1,0,-0.0469244,-0.0469244,
0,0,0.0642331,0.0642331,
1,1,0.1467375,0.1828095,0.0272042
2,1,0.04206495,0.0976917,0.03774015
3,1,0.1425955,0.2072115,0.0409943
4,1,-0.06984275,-0.0541853,0.02810665
5,1,0.09507495,0.1387315,0.0234178
6,1,0.0524149,0.0759835,0.006445265
7,1,-0.0369003,-0.07011525,-0.0187096
8,1,-0.0912781,-0.1467445,-0.03794
9,1,0.01116805,-0.0199031,-0.04245305
10,1,-0.0368703,-0.1008705,-0.0494849
11,1,0.0781659,0.0471432,-0.0502051
12,1,0.0881302,0.0446139,-0.06495
13,1,0.031238,-0.04668585,-0.0933212
14,1,-0.118556,-0.261861,-0.126104
15,1,0.0507798,-0.06637125,-0.1386655
16,1,-0.1544915,-0.3339975,-0.161143
17,1,0.0636439,-0.08035645,-0.1617395
18,1,0.07357715,-0.0843352,-0.175928
19,1,0.08109545,-0.0983876,-0.1994645
20,1,-0.116683,-0.371893,-0.2346815
21,1,-0.05893235,-0.332113,-0.2538165
22,1,0.3071615,0.0538217,-0.266167
23,1,-0.2238615,-0.556641,-0.3163405
24,1,-0.0895708,-0.4496955,-0.339064
25,1,-0.0162632,-0.382714,-0.3499475
26,1,-0.1299705,-0.5055095,-0.354239
27,1,0.154287,-0.1761195,-0.342128
28,1,-0.1295845,-0.508481,-0.355238
29,1,0.03542965,-0.2977545,-0.346243
30,1,0.0359693,-0.295729,-0.346617
31,1,0.005573395,-0.348621,-0.353324
32,1,-0.1217,-0.50797,-0.3651195
33,1,-0.125501,-0.503859,-0.3564295
34,1,-0.02653245,-0.374859,-0.3308
35,1,0.0215949,-0.270774,-0.3012795
36,1,0.01102465,-0.256732,-0.2760115
37,1,0.00592698,-0.2473545,-0.254626
38,1,-0.101984,-0.3565795,-0.2342715
39,1,-0.007393855,-0.218204,-0.202488
40,1,-0.023336,-0.203397,-0.1641245
41,1,-0.01479695,-0.152458,-0.1253875
42,1,0.110269,0.0502691,-0.0807769
43,1,0.01590845,-0.0235438,-0.05236435
44,1,0.107895,0.103438,-0.029116
45,1,0.00385449,-0.00351891,-0.015228
46,1,0.1877535,0.1993715,-0.00183348
47,1,-0.173865,-0.2070695,-0.0156724
48,1,0.00180309,0.001669105,-0.00249925
49,1,0.0164949,0.04223505,0.013718
50,1,0.0600163,0.1066935,0.0217154
51,1,-0.10899,-0.101141,0.02412865
52,1,0.07551095,0.1454785,0.04371015
53,1,-0.018714,0.0235467,0.05238475
54,1,0.183525,0.267189,0.0637351
55,1,0.07356925,0.1501115,0.05367985
56,1,-0.0079964,0.01789565,0.03055305
57,1,-0.00423147,0.006146565,0.0106428
58,1,-0.09830335,-0.1261875,-0.007250245
59,1,0.0761021,0.0823275,-0.01368625
60,1,-0.1692285,-0.217402,-0.0329932
61,1,-0.0576448,-0.1053455,-0.0233301
62,1,0.0732107,0.08419245,-0.00784053
63,1,-0.0967693,-0.1243975,-0.005105235
64,1,0.0940025,0.1236655,0.01140075
65,1,0.0650686,0.0962697,0.015448
66,1,-0.00122874,0.004761675,0.00890062
67,1,-0.00133175,0.0032324,0.00554137
68,1,-0.0985982,-0.118647,0.001983435
69,1,-0.001317,0.00672359,0.012039
70,1,0.08704085,0.127274,0.02263595
71,1,-0.003956555,0.0100544,0.01845425
72,1,-0.00542206,0.008878995,0.01755105
73,1,-0.1086255,-0.1075345,0.02019545
74,1,-0.0102547,0.01331555,0.03358815
75,1,0.05171935,0.1222085,0.05184565
76,1,0.04988105,0.124315,0.05938195
77,1,-0.00582369,0.05203345,0.06085655
78,1,-0.0181985,0.0312576,0.0622565
79,1,0.04056065,0.1294725,0.06877915
80,1,-0.0191669,0.03340275,0.06873365
81,1,-0.02348875,0.03584255,0.0711739
82,1,0.0380146,0.136164,0.08000685
83,1,0.05425945,0.159459,0.08317245
84,1,-0.0295241,0.0350746,0.07790255
85,1,0.0385945,0.1393485,0.07954275
86,1,0.0611418,0.1521755,0.0712129
87,1,0.0660073,0.147445,0.05935775
88,1,-0.0135576,0.0118895,0.03358715
89,1,-0.0965305,-0.115429,0.008793665
90,1,-0.0681915,-0.1006695,-1.707175e-05
