time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,0.105969,0.105969,
-27,0,-0.23827,-0.23827,
-26,0,0.05089015,0.05089015,
-25,0,0.1221075,0.1221075,
-24,0,0.125974,0.125974,
-23,0,-0.2793585,-0.2793585,
-22,0,-0.158662,-0.158662,
-21,0,-0.03310285,-0.03310285,
-20,0,-0.05483335,-0.05483335,
-19,0,-0.188183,-0.188183,
-18,0,-0.0409862,-0.0409862,
-17,0,-0.1655785,-0.1655785,
-16,0,0.0236442,0.0236442,
-15,0,0.185364,0.185364,
-14,0,0.1827635,0.1827635,
-13,0,0.0007120715,0.0007120715,
-12,0,0.16035,0.16035,
-11,0,-0.03403585,-0.03403585,
-10,0,0.1748885,0.1748885,
-9,0,-0.0128125,-0.0128125,
-8,0,0.00123332,0.00123332,
-7,0,0.0242388,0.0242388,
-6,0,0.1740375,0.1740375,
-5,0,-0.00943375,-0.00943375,
-4,0,-0.166229,-0.166229,
-3,0,-0.1990965,-0.1990965,
-2,0,0.190764,0.190764,
-1,0,0.0100207,0.0100207,
0,0,-0.378499,-0.378499,
1,1,-0.1792795,-0.203629,-0.0173683
2,1,0.02153595,0.003356585,-0.0257837
3,1,-0.163648,-0.2154925,-0.03590095
4,1,0.194138,0.173617,-0.03300095
5,1,-0.332769,-0.392702,-0.04604575
6,1,0.193689,0.177665,-0.03702385
7,1,0.1976395,0.17613,-0.0409417
8,1,0.0384787,0.003225355,-0.05618255
9,1,-0.1158415,-0.208761,-0.07648625
10,1,0.0756035,0.0127083,-0.0857321
11,1,0.05654045,-0.02786725,-0.1031165
12,1,0.0689903,-0.0363742,-0.124623
13,1,0.06353495,-0.06448165,-0.1490935
14,1,-0.0604499,-0.2630925,-0.1805525
15,1,-0.1762215,-0.413601,-0.207019
16,1,-0.03211025,-0.27396,-0.22233
17,1,-0.1976915,-0.4673275,-0.237078
18,1,-0.1649455,-0.43599,-0.2388005
19,1,-0.0562762,-0.30961,-0.229944
20,1,0.09309825,-0.0984298,-0.214616
21,1,-0.03992985,-0.267984,-0.2082625
22,1,-0.02216685,-0.2337475,-0.1978025
23,1,0.1053685,-0.06230185,-0.187575
24,1,0.326685,0.1509985,-0.183856
25,1,-0.0755409,-0.3022975,-0.205329
26,1,-0.2143915,-0.4566795,-0.2213795
27,1,-0.03627185,-0.275933,-0.2205005
28,1,-0.03602795,-0.271347,-0.217308
29,1,-0.211136,-0.451779,-0.215495
30,1,0.0799006,-0.09908305,-0.1978055
31,1,-0.2620205,-0.467906,-0.18724
32,1,0.0621909,-0.07855445,-0.1590515
33,1,-0.0882172,-0.244988,-0.134843
34,1,0.08462385,-0.00628553,-0.106188
35,1,0.04245895,-0.0223804,-0.08410215
36,1,0.2083075,0.1642825,-0.0641594
37,1,0.02912365,-0.0154583,-0.0595253
38,1,-0.16598,-0.233961,-0.0539744
39,1,0.0189615,-0.010702,-0.0401445
40,1,0.0299186,0.02372615,-0.02680665
41,1,0.1553255,0.1643255,-0.01550315
42,1,0.007956915,-0.00261049,-0.01478985
43,1,0.006620295,-0.004044375,-0.0143737
44,1,-0.183011,-0.212444,-0.01382345
45,1,-0.15231,-0.168576,-0.00176153
46,1,0.00889802,0.0373692,0.0212319
47,1,0.141035,0.208102,0.0470604
48,1,-0.02754475,0.0173864,0.06054245
49,1,0.148157,0.25064,0.07716925
50,1,0.1508635,0.260027,0.0844869
51,1,-0.00871343,0.06620695,0.08184105
52,1,-0.04223605,0.0226063,0.0809103
53,1,0.1137395,0.221605,0.08508555
54,1,-0.00322797,0.07128665,0.07915485
55,1,0.162868,0.2624615,0.07461515
56,1,-0.03012825,0.01694285,0.06054715
57,1,-0.1973695,-0.1621835,0.0514622
58,1,-0.02798735,0.0132333,0.0530716
59,1,0.1310315,0.206234,0.05728205
60,1,0.0140168,0.07326955,0.05028665
61,1,-0.0201878,0.0105341,0.0438085
62,1,-0.01861225,0.0100848,0.03990615
63,1,-0.0164382,0.009944405,0.0370149
64,1,-0.0183044,0.00799053,0.03523625
65,1,0.144544,0.197009,0.0368874
66,1,-0.0114549,0.00724774,0.02520185
67,1,-0.170793,-0.1746475,0.0145254
68,1,-0.007927865,0.004689575,0.01683155
69,1,-0.1803315,-0.1792335,0.0197917
70,1,0.1422505,0.194581,0.03569375
71,1,-0.02073975,0.00969317,0.0407035
72,1,-0.02603035,0.01226965,0.04891265
73,1,0.175936,0.253119,0.05779355
74,1,-0.02978795,0.0149319,0.05531735
75,1,0.13098,0.207183,0.05475145
76,1,0.08775955,0.1504975,0.0445627
77,1,-0.179831,-0.1717325,0.02796185
78,1,-0.0128583,0.004290815,0.02285745
79,1,-0.009226835,0.00555753,0.02222335
80,1,0.03322115,0.06791795,0.0197102
81,1,-0.00920473,0.003123465,0.01446475
82,1,-0.003854365,0.001066875,0.01115105
83,1,-0.004635395,0.0008785805,0.008630385
84,1,-0.003462375,0.0006262865,0.006420215
85,1,-0.003340115,-0.00235311,0.000881142
86,1,-0.1046005,-0.126963,-0.0001008385
87,1,0.156334,0.1885175,0.00489655
88,1,-0.097242,-0.1292125,-0.004325595
89,1,-0.000695792,-0.002316975,-0.001887225
90,1,-0.0001631575,-0.000185309,-0.001541215
