time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.123445,-0.123445,
-27,0,-0.158284,-0.158284,
-26,0,0.1459385,0.1459385,
-25,0,0.245675,0.245675,
-24,0,0.1486965,0.1486965,
-23,0,0.092378,0.092378,
-22,0,0.152376,0.152376,
-21,0,0.1521305,0.1521305,
-20,0,0.0106416,0.0106416,
-19,0,-0.09208755,-0.09208755,
-18,0,0.09593205,0.09593205,
-17,0,0.05753375,0.05753375,
-16,0,-0.150904,-0.150904,
-15,0,-0.1283945,-0.1283945,
-14,0,0.02645915,0.02645915,
-13,0,0.001942065,0.001942065,
-12,0,-0.05992655,-0.05992655,
-11,0,0.001358315,0.001358315,
-10,0,0.1179085,0.1179085,
-9,0,-0.1835675,-0.1835675,
-8,0,0.1598425,0.1598425,
-7,0,-0.001611605,-0.001611605,
-6,0,0.15306,0.15306,
-5,0,-0.2209945,-0.2209945,
-4,0,0.0859125,0.0859125,
-3,0,0.002434845,0.002434845,
-2,0,-0.000137041,-0.000137041,
-1,0,-0.08654075,-0.08654075,
0,0,0.006281725,0.006281725,
1,1,-0.08065675,-0.1215675,-0.02953955
2,1,-0.0809353,-0.152294,-0.05447055
3,1,0.0552366,-0.0132479,-0.0722781
4,1,-0.0280748,-0.140287,-0.09504495
5,1,0.04514045,-0.0537636,-0.1158225
6,1,-0.06701,-0.231929,-0.140805
7,1,-0.150766,-0.332509,-0.160669
8,1,0.05716245,-0.0953217,-0.16456
9,1,0.0434339,-0.1171245,-0.1747675
10,1,0.02595855,-0.14819,-0.1901835
11,1,-0.09951335,-0.3343885,-0.2105175
12,1,-0.132673,-0.372513,-0.2194625
13,1,-0.0133104,-0.2465495,-0.215524
14,1,0.014531,-0.1893605,-0.213457
15,1,-0.0296875,-0.2575495,-0.211559
16,1,0.007693005,-0.190609,-0.2049135
17,1,0.07158575,-0.111241,-0.202159
18,1,-0.0230803,-0.2449955,-0.206405
19,1,0.1389055,-0.05825675,-0.2071945
20,1,-0.002915575,-0.2308095,-0.222585
21,1,-0.0631155,-0.3211275,-0.2382825
22,1,0.000633441,-0.2455875,-0.246127
23,1,-0.1119145,-0.386838,-0.254194
24,1,-0.0781165,-0.3507975,-0.253033
25,1,-0.0111768,-0.2624205,-0.241842
26,1,0.0706355,-0.149832,-0.230794
27,1,0.04907365,-0.1665855,-0.227761
28,1,-0.03907725,-0.286427,-0.232825
29,1,-0.006433105,-0.245453,-0.2324815
30,1,0.05608635,-0.1594815,-0.2315865
31,1,0.0410128,-0.1807965,-0.234499
32,1,0.003037235,-0.238633,-0.245432
33,1,-0.358774,-0.6269325,-0.256833
34,1,-0.0137727,-0.2583135,-0.2303265
35,1,-0.00343216,-0.2157575,-0.207059
36,1,-0.008006195,-0.199257,-0.182079
37,1,0.0445376,-0.0923583,-0.1564665
38,1,0.006924515,-0.120495,-0.134979
39,1,0.0594559,-0.0335065,-0.114123
40,1,0.0389506,-0.0390496,-0.1006515
41,1,0.08885805,0.0196015,-0.09095695
42,1,0.0049568,-0.07589845,-0.0888874
43,1,0.03909905,-0.0287277,-0.08226235
44,1,0.003250945,-0.0817058,-0.0915537
45,1,0.00702832,-0.0856686,-0.09574705
46,1,-0.0144487,-0.123231,-0.09960245
47,1,0.0155574,-0.0750983,-0.1038355
48,1,-0.04428065,-0.166446,-0.104462
49,1,-0.03998365,-0.1652835,-0.105306
50,1,0.0179199,-0.07201095,-0.1017505
51,1,-0.0596047,-0.1784345,-0.1010345
52,1,-0.00207462,-0.0965469,-0.0930553
53,1,-0.0188986,-0.1171805,-0.08849885
54,1,0.01275715,-0.0547565,-0.0772991
55,1,0.0626408,0.0099912,-0.06972845
56,1,0.019708,-0.0347184,-0.06727015
57,1,0.0184476,-0.03994685,-0.0646832
58,1,-0.0270769,-0.1084445,-0.0693041
59,1,0.00845102,-0.0482525,-0.064523
60,1,-0.05596865,-0.137653,-0.0644494
61,1,0.01535145,-0.03825715,-0.0613432
62,1,-0.0577549,-0.130534,-0.0554373
63,1,-0.00201527,-0.0468411,-0.04336045
64,1,0.001543955,-0.0276853,-0.03503725
65,1,-0.001460195,-0.024578,-0.0243468
66,1,0.002937095,-0.00305492,-0.01493055
67,1,-0.03597975,-0.05791685,-0.006745435
68,1,0.01122265,0.0311169,0.006155975
69,1,0.02293905,0.05264415,0.01763475
70,1,0.012661,0.05217285,0.02270615
71,1,0.0687134,0.1227555,0.03134035
72,1,0.08212,0.138095,0.03325395
73,1,0.0518152,0.0968801,0.02421245
74,1,-0.006981925,-0.00244741,0.01081115
75,1,0.01582425,0.03228045,-0.00139301
76,1,-0.061525,-0.0894204,-0.01666425
77,1,-0.01561575,-0.0455496,-0.0207542
78,1,-0.0367396,-0.0816069,-0.02772415
79,1,-0.03474415,-0.08020675,-0.0253897
80,1,-0.00300511,-0.0381163,-0.0277022
81,1,-0.01015995,-0.04821565,-0.02697255
82,1,-0.0134176,-0.05175815,-0.0206321
83,1,0.0153459,0.01579995,-0.01434395
84,1,0.0669358,0.07418525,-0.009005645
85,1,0.000829875,-0.007931535,-0.01271515
86,1,-0.00289711,-0.01918675,-0.0138562
87,1,-0.00347319,-0.02349555,-0.0191097
88,1,0.003093175,-0.0119756,-0.01995975
89,1,-0.03284365,-0.08262025,-0.02585635
90,1,0.003891155,-0.0126621,-0.02436865
