time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.0825552,-0.0825552,
-27,0,-0.066523,-0.066523,
-26,0,-0.001060445,-0.001060445,
-25,0,-0.1459805,-0.1459805,
-24,0,-0.205273,-0.205273,
-23,0,-0.000221313,-0.000221313,
-22,0,-0.06505945,-0.06505945,
-21,0,-0.0640908,-0.0640908,
-20,0,-0.0644852,-0.0644852,
-19,0,-0.149052,-0.149052,
-18,0,-0.0601994,-0.0601994,
-17,0,-0.08677685,-0.08677685,
-16,0,0.000525694,0.000525694,
-15,0,-0.2287095,-0.2287095,
-14,0,-0.000628159,-0.000628159,
-13,0,0.000370628,0.000370628,
-12,0,-0.143571,-0.143571,
-11,0,-0.08013125,-0.08013125,
-10,0,-0.205275,-0.205275,
-9,0,-0.07827765,-0.07827765,
-8,0,-8.057715e-05,-8.057715e-05,
-7,0,-0.141064,-0.141064,
-6,0,-0.00042779,-0.00042779,
-5,0,-0.1417665,-0.1417665,
-4,0,-0.0708151,-0.0708151,
-3,0,-0.0659837,-0.0659837,
-2,0,-0.1406685,-0.1406685,
-1,0,0.1429575,0.1429575,
0,0,-0.0790086,-0.0790086,
1,1,-0.1306145,-0.1374045,-0.002442365
2,1,0.1395435,0.1471075,-0.000739547
3,1,0.0022046,-0.0008509095,-0.003707035
4,1,-0.05758305,-0.0714612,-0.006867045
5,1,0.143643,0.146536,-0.0088281
6,1,0.006823015,-0.00459604,-0.01319695
7,1,-0.04598045,-0.07750235,-0.0209651
8,1,-0.12757,-0.1629185,-0.02545965
9,1,-0.043532,-0.0777992,-0.02487665
10,1,0.1561485,0.1428285,-0.02351845
11,1,0.2149655,0.195614,-0.02721795
12,1,0.0177147,-0.01424605,-0.03968315
13,1,-0.110709,-0.1747595,-0.05242515
14,1,-0.109422,-0.183121,-0.060246
15,1,0.174912,0.120154,-0.0640392
16,1,-0.0379157,-0.129858,-0.07761155
17,1,0.0449065,-0.03237915,-0.0872037
18,1,-0.1570345,-0.2730545,-0.09971055
19,1,-0.005687315,-0.1148185,-0.1039585
20,1,-5.79507e-05,-0.113992,-0.108439
21,1,-0.1336095,-0.266709,-0.114446
22,1,-0.07709875,-0.208338,-0.1129635
23,1,-0.0823614,-0.2071725,-0.111841
24,1,0.2618045,0.161042,-0.1044365
25,1,-0.00440894,-0.116124,-0.11039
26,1,-0.141116,-0.274289,-0.1164595
27,1,-0.0764638,-0.209839,-0.1161845
28,1,-0.01932665,-0.1415375,-0.112615
29,1,-0.08038745,-0.20448,-0.1080335
30,1,0.112845,0.02426645,-0.1005445
31,1,0.0499442,-0.0370699,-0.098128
32,1,0.1778265,0.09063105,-0.09595215
33,1,-0.221229,-0.3319955,-0.103588
34,1,-0.0137581,-0.120522,-0.1005645
35,1,0.051647,-0.03403365,-0.096686
36,1,-0.0174202,-0.1172635,-0.0945971
37,1,0.18495,0.104232,-0.0929862
38,1,0.1180345,0.032195,-0.09730685
39,1,-0.07648825,-0.1936055,-0.107033
40,1,0.1362095,0.0297092,-0.113306
41,1,-0.004555015,-0.134846,-0.1246995
42,1,-0.0620358,-0.213571,-0.1361355
43,1,-0.05233,-0.214442,-0.146787
44,1,0.08111215,-0.0632984,-0.1545955
45,1,-0.0454367,-0.2251895,-0.1645045
46,1,-0.109554,-0.30555,-0.174557
47,1,-0.1823155,-0.3786535,-0.1787515
48,1,-0.04154285,-0.2336075,-0.17588
49,1,0.08766005,-0.0712361,-0.1707665
50,1,-0.111234,-0.302134,-0.171015
51,1,0.02170555,-0.1373865,-0.1657185
52,1,-0.0477557,-0.2278625,-0.1641415
53,1,0.014927,-0.1367085,-0.158324
54,1,-0.0539652,-0.2249215,-0.1555565
55,1,0.0160008,-0.129571,-0.150246
56,1,-0.126703,-0.2869975,-0.1444225
57,1,0.01082625,-0.1219065,-0.1345085
58,1,0.00899494,-0.1138145,-0.1255835
59,1,0.006447045,-0.1114095,-0.1167625
60,1,0.05545105,-0.0441574,-0.107853
61,1,-0.08476325,-0.2007155,-0.1009705
62,1,-0.004491015,-0.101518,-0.09367545
63,1,0.0429177,-0.03015445,-0.08468995
64,1,-0.10236,-0.1884935,-0.07648325
65,1,0.086427,0.03344135,-0.0664277
66,1,0.0295879,-0.019413,-0.056929
67,1,0.0252914,-0.0169308,-0.0512295
68,1,-0.0587383,-0.112002,-0.04532545
69,1,0.0166002,-0.0145052,-0.0374842
70,1,0.07345555,0.06103085,-0.0304019
71,1,0.012012,-0.006666565,-0.0252749
72,1,-0.1260305,-0.155106,-0.0213543
73,1,0.0821978,0.08893215,-0.010426
74,1,0.001327635,0.00231291,-0.002330805
75,1,0.136806,0.154281,0.00263203
76,1,-0.0591315,-0.0657277,0.002809805
77,1,0.1366125,0.163496,0.00750269
78,1,-0.0561879,-0.0592656,0.006916825
79,1,-0.00514203,0.004217985,0.008769185
80,1,0.1311365,0.1635975,0.0123186
81,1,-0.006408965,0.002636545,0.008222565
82,1,-0.004079535,0.00251493,0.004872035
83,1,0.140053,0.161492,0.004457995
84,1,-0.000248867,-0.00143223,-0.004238685
85,1,-0.1383515,-0.160691,-0.0110094
86,1,0.00662407,-0.00353146,-0.013501
87,1,0.05837695,0.0576249,-0.0142464
88,1,0.00913334,-0.005436985,-0.02027715
89,1,0.0124168,-0.00598663,-0.0245919
90,1,-0.1223545,-0.169637,-0.02970355
