time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,0.209879,0.209879,
-27,0,0.1649495,0.1649495,
-26,0,0.2271915,0.2271915,
-25,0,0.1202185,0.1202185,
-24,0,0.1673835,0.1673835,
-23,0,0.1036675,0.1036675,
-22,0,0.08608885,0.08608885,
-21,0,0.0003497425,0.0003497425,
-20,0,0.0434339,0.0434339,
-19,0,0.1809455,0.1809455,
-18,0,0.166851,0.166851,
-17,0,0.148671,0.148671,
-16,0,0.03554515,0.03554515,
-15,0,0.0852713,0.0852713,
-14,0,0.1327105,0.1327105,
-13,0,0.106989,0.106989,
-12,0,0.06166525,0.06166525,
-11,0,0.0767565,0.0767565,
-10,0,0.156516,0.156516,
-9,0,0.06351175,0.06351175,
-8,0,0.114798,0.114798,
-7,0,0.06237005,0.06237005,
-6,0,0.0722924,0.0722924,
-5,0,0.175655,0.175655,
-4,0,0.103209,0.103209,
-3,0,-0.1119575,-0.1119575,
-2,0,-0.02474595,-0.02474595,
-1,0,-0.134048,-0.134048,
0,0,0.1823025,0.1823025,
1,1,-0.151073,-0.1584535,-0.00317318
2,1,-0.062787,-0.0766243,-0.005922675
3,1,-0.02820265,-0.0465255,-0.008679805
4,1,0.01631185,-0.00170042,-0.0110289
5,1,-0.07881775,-0.10392,-0.01414
6,1,-0.146869,-0.1815245,-0.0165002
7,1,-0.0696009,-0.107597,-0.0179708
8,1,-0.3065675,-0.3439185,-0.01929665
9,1,-0.1891995,-0.2279325,-0.01917455
10,1,0.0490471,0.02484475,-0.0182282
11,1,0.0006844505,-0.02484295,-0.01768175
12,1,0.07299075,0.05217115,-0.01680385
13,1,0.06790605,0.0479346,-0.01679635
14,1,0.01323755,-0.009575495,-0.0170647
15,1,-0.03807265,-0.0643581,-0.01780975
16,1,-0.0067286,-0.0310196,-0.01771175
17,1,0.01786765,-0.002290625,-0.0177612
18,1,0.00608598,-0.01699445,-0.01821325
19,1,-0.1360115,-0.162382,-0.01934935
20,1,-0.0139316,-0.03817235,-0.0182769
21,1,0.0776102,0.0589934,-0.01783085
22,1,-0.0852528,-0.1078545,-0.0175764
23,1,0.0190459,4.04553e-05,-0.01719985
24,1,0.06462565,0.04813185,-0.01659245
25,1,0.01309875,-0.00289821,-0.01592295
26,1,0.02777295,0.0123152,-0.0159812
27,1,0.01173335,-0.004613105,-0.01645435
28,1,-0.0319501,-0.05298625,-0.0164311
29,1,0.03767575,0.02208,-0.01617595
30,1,0.02636555,0.008176035,-0.01681525
31,1,-0.01508525,-0.0356056,-0.0174813
32,1,0.01136735,-0.00737756,-0.01775865
33,1,0.03195955,0.0140995,-0.0179427
34,1,0.00453476,-0.0167713,-0.01840095
35,1,0.009572595,-0.0114009,-0.01922175
36,1,0.02075055,0.001063685,-0.0198698
37,1,-0.03300665,-0.05947325,-0.0208301
38,1,-0.0148671,-0.0411244,-0.02161345
39,1,0.005151995,-0.0205156,-0.02229675
40,1,-0.03569485,-0.0647371,-0.02328795
41,1,0.0110768,-0.01401575,-0.02421475
42,1,0.02561565,0.002657,-0.0237488
43,1,0.00919727,-0.01703335,-0.0244678
44,1,0.02782825,0.00173765,-0.0254126
45,1,-0.02623845,-0.05666925,-0.02695615
46,1,-0.0145774,-0.04725365,-0.02799715
47,1,0.0145533,-0.0135287,-0.02878365
48,1,0.01716185,-0.0158233,-0.02986805
49,1,0.00940672,-0.02340275,-0.03054715
50,1,-0.0401892,-0.0805997,-0.0316163
51,1,0.0159764,-0.0172972,-0.03272055
52,1,0.0173632,-0.01860605,-0.0336033
53,1,-0.1835005,-0.226713,-0.0347056
54,1,0.0168399,-0.0194733,-0.03463565
55,1,0.01869075,-0.0177155,-0.0348114
56,1,0.0189931,-0.01776205,-0.0353091
57,1,0.01757295,-0.0192919,-0.0354371
58,1,-0.1313855,-0.1745565,-0.036536
59,1,-0.00132872,-0.03952055,-0.03651265
60,1,0.00675158,-0.0322684,-0.0360579
61,1,-0.114285,-0.1585735,-0.0364563
62,1,0.02074925,-0.0161375,-0.0344638
63,1,0.1643635,0.1329905,-0.033612
64,1,-0.149315,-0.1891095,-0.03418145
65,1,0.0173409,-0.01668725,-0.03315805
66,1,0.01737675,-0.01727995,-0.0331098
67,1,0.0165976,-0.01713385,-0.03277435
68,1,0.0178205,-0.0157983,-0.03305565
69,1,0.0330331,-0.0009986075,-0.0329271
70,1,-0.1319345,-0.1697345,-0.0331854
71,1,0.0166899,-0.01722575,-0.03259285
72,1,0.001457185,-0.03279665,-0.0322845
73,1,0.01406785,-0.01867305,-0.03145245
74,1,-0.1333255,-0.1711735,-0.03119375
75,1,0.0148047,-0.0154968,-0.0307196
76,1,0.1660625,0.141372,-0.0295496
77,1,0.0152388,-0.0143671,-0.0295288
78,1,0.01360895,-0.0171108,-0.03022615
79,1,-0.136595,-0.174523,-0.03047615
80,1,0.0161297,-0.0150688,-0.02941225
81,1,0.1666715,0.143702,-0.02941005
82,1,-0.131333,-0.170478,-0.0303449
83,1,-0.13623,-0.1748115,-0.03069835
84,1,0.03199615,0.00455051,-0.03039495
85,1,-0.0005228705,-0.0314847,-0.02917555
86,1,0.015996,-0.0127781,-0.0288416
87,1,0.0139149,-0.01377125,-0.02855215
88,1,0.01115145,-0.0165317,-0.0281845
89,1,0.0114519,-0.01477775,-0.0276094
90,1,0.0146747,-0.01203615,-0.0275585
