time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,0.04598865,0.04598865,
-27,0,0.2558705,0.2558705,
-26,0,0.05025465,0.05025465,
-25,0,-0.1271835,-0.1271835,
-24,0,-0.2435915,-0.2435915,
-23,0,-0.0936373,-0.0936373,
-22,0,-0.1776215,-0.1776215,
-21,0,-0.219841,-0.219841,
-20,0,-0.0429646,-0.0429646,
-19,0,0.131557,0.131557,
-18,0,-0.215845,-0.215845,
-17,0,0.2295945,0.2295945,
-16,0,-0.00106649,-0.00106649,
-15,0,-0.2548305,-0.2548305,
-14,0,-0.1280895,-0.1280895,
-13,0,0.126121,0.126121,
-12,0,-0.1265465,-0.1265465,
-11,0,0.1329275,0.1329275,
-10,0,0.1788695,0.1788695,
-9,0,0.11978,0.11978,
-8,0,-0.1233015,-0.1233015,
-7,0,-0.3687725,-0.3687725,
-6,0,0.288203,0.288203,
-5,0,0.2962715,0.2962715,
-4,0,0.1105085,0.1105085,
-3,0,0.2598735,0.2598735,
-2,0,0.323186,0.323186,
-1,0,-0.1311815,-0.1311815,
0,0,-0.0594733,-0.0594733,
1,1,0.1212515,0.126975,-0.0049561
2,1,-0.1025125,-0.1365335,-0.01645745
3,1,0.06663385,0.06068905,-0.02337745
4,1,0.0626534,0.0465075,-0.03169135
5,1,-0.0278024,-0.09748245,-0.04614945
6,1,-0.1439125,-0.2280255,-0.06020395
7,1,0.01929295,-0.02697235,-0.0619748
8,1,-0.0655926,-0.15968,-0.0678267
9,1,0.0722018,0.0309705,-0.06710795
10,1,-0.013685,-0.09956535,-0.07029225
11,1,0.09603615,0.0447188,-0.07498885
12,1,0.08013685,0.0227429,-0.0868119
13,1,-0.0607948,-0.193989,-0.104195
14,1,0.04151565,-0.0477068,-0.113624
15,1,-0.157631,-0.3096345,-0.1282205
16,1,-0.0276713,-0.182074,-0.1304455
17,1,0.09725745,-0.0134464,-0.131346
18,1,0.04948915,-0.06325905,-0.1399095
19,1,0.0583251,-0.0679128,-0.153691
20,1,-0.08657815,-0.284521,-0.1715995
21,1,0.1578855,-0.002253315,-0.179181
22,1,-0.1059575,-0.344697,-0.2037685
23,1,0.01296615,-0.187019,-0.213748
24,1,0.1324085,-0.0726897,-0.229232
25,1,-0.005048735,-0.2682175,-0.252811
26,1,0.03354335,-0.217591,-0.2776985
27,1,-0.1355995,-0.4900855,-0.3084585
28,1,-0.459841,-0.8103925,-0.328528
29,1,-0.08862005,-0.447166,-0.3158775
30,1,0.08415235,-0.182012,-0.2937325
31,1,0.04316035,-0.206343,-0.2835815
32,1,0.02309605,-0.230112,-0.2778575
33,1,0.0163074,-0.2415035,-0.278059
34,1,-0.2665675,-0.570197,-0.2789185
35,1,0.02229835,-0.219715,-0.260982
36,1,-0.0323414,-0.3045275,-0.2462385
37,1,0.06785185,-0.134137,-0.2313405
38,1,-0.1945295,-0.4523445,-0.2221445
39,1,-0.0824917,-0.3154645,-0.1984765
40,1,0.2118775,0.06044105,-0.1691205
41,1,-0.0783701,-0.263917,-0.153942
42,1,0.05084175,-0.05984685,-0.1327865
43,1,-0.06605405,-0.2134245,-0.118948
44,1,-0.0789362,-0.204096,-0.0960656
45,1,0.1504005,0.1130865,-0.06788705
46,1,0.0125975,-0.01882725,-0.05184105
47,1,0.136475,0.142515,-0.03401965
48,1,0.007036615,-0.008926615,-0.0287945
49,1,0.002513355,-0.01196,-0.0189782
50,1,0.1241095,0.149255,-0.01229235
51,1,0.001596415,-0.00707713,-0.01384105
52,1,-0.1239635,-0.161606,-0.017704
53,1,0.00338586,-0.004117255,-0.01044305
54,1,0.00144153,-0.0004843375,-0.0043452
55,1,-0.001003597,0.001088935,0.001177155
56,1,-0.00278904,0.005119485,0.00909668
57,1,0.3072775,0.354907,0.01651725
58,1,0.03578085,0.07004125,0.002218125
59,1,-0.00985335,-0.0278667,-0.008684855
60,1,-0.00457862,-0.031183,-0.01983805
61,1,-0.0705547,-0.1331075,-0.032695
62,1,0.0287998,0.01133775,-0.04112915
63,1,0.0140971,-0.01958475,-0.04911335
64,1,0.0379764,0.001113625,-0.0573397
65,1,-0.1325885,-0.234732,-0.07273105
66,1,0.04376245,-0.0101094,-0.0762551
67,1,-0.0764086,-0.1995045,-0.08884675
68,1,-0.0720435,-0.1992555,-0.09100505
69,1,0.0338028,-0.0348399,-0.0872857
70,1,0.00103577,-0.09057155,-0.08944045
71,1,-0.0900316,-0.2170575,-0.0921108
72,1,0.04146165,-0.0189461,-0.08702165
73,1,-0.09659425,-0.220831,-0.0834453
74,1,0.0277881,-0.0311211,-0.0786233
75,1,-0.230269,-0.3343905,-0.076676
76,1,-0.08928465,-0.184626,-0.05817245
77,1,-0.05729215,-0.1256505,-0.03386225
78,1,-0.0005916005,-0.00143701,-0.005390815
79,1,0.02824775,0.076859,0.0241649
80,1,0.157708,0.238164,0.05060615
81,1,0.000812694,0.07039395,0.0666382
82,1,-0.00355898,0.0791154,0.0812568
83,1,0.101438,0.2398515,0.09918295
84,1,0.1935345,0.336367,0.1089955
85,1,-0.1190755,-0.04359265,0.1035825
86,1,0.10621,0.2525425,0.106617
87,1,0.03649425,0.173685,0.1038255
88,1,-0.139428,-0.0703629,0.09790315
89,1,-0.1079575,-0.04509455,0.1007055
90,1,0.1812805,0.339743,0.1137225
