time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,0.2149265,0.2149265,
-27,0,0.268504,0.268504,
-26,0,0.0920332,0.0920332,
-25,0,0.06037275,0.06037275,
-24,0,0.125787,0.125787,
-23,0,0.03376625,0.03376625,
-22,0,-0.07872765,-0.07872765,
-21,0,-0.001051065,-0.001051065,
-20,0,-0.02545875,-0.02545875,
-19,0,-0.03324575,-0.03324575,
-18,0,0.01607095,0.01607095,
-17,0,0.06446,0.06446,
-16,0,0.05419155,0.05419155,
-15,0,0.05524065,0.05524065,
-14,0,-0.04763215,-0.04763215,
-13,0,-0.07678245,-0.07678245,
-12,0,0.02987715,0.02987715,
-11,0,-0.02221445,-0.02221445,
-10,0,0.03462025,0.03462025,
-9,0,-0.0104751,-0.0104751,
-8,0,-0.0511531,-0.0511531,
-7,0,0.01102775,0.01102775,
-6,0,-0.04235875,-0.04235875,
-5,0,-0.0536021,-0.0536021,
-4,0,-0.1178305,-0.1178305,
-3,0,0.143224,0.143224,
-2,0,0.0770198,0.0770198,
-1,0,-0.1380005,-0.1380005,
0,0,0.02092305,0.02092305,
1,1,-0.09557165,-0.0677933,0.0384645
2,1,0.1384155,0.287503,0.125419
3,1,0.03157825,0.207526,0.146792
4,1,0.0171769,0.190706,0.1526025
5,1,0.0683654,0.2497545,0.1520605
6,1,-0.04031875,0.0553214,0.116406
7,1,0.01611665,0.133729,0.104812
8,1,0.00830429,0.101835,0.08532185
9,1,0.007984585,0.07935035,0.06205035
10,1,-0.07238925,-0.0604756,0.03607265
11,1,0.03365945,0.1007485,0.04220955
12,1,0.03551,0.0907497,0.03280035
13,1,0.01851925,0.0443494,0.00626888
14,1,0.04147895,0.0304071,-0.030543
15,1,-0.0807111,-0.2023625,-0.09328515
16,1,0.0004122115,-0.1123435,-0.1107975
17,1,-0.00379143,-0.136595,-0.1303925
18,1,-0.0421272,-0.2179635,-0.1545415
19,1,0.0597707,-0.0673342,-0.149235
20,1,-0.08644975,-0.291645,-0.1787105
21,1,0.0235108,-0.1286925,-0.167299
22,1,-0.01133605,-0.194226,-0.1702485
23,1,0.0561594,-0.07808525,-0.160532
24,1,-0.02772625,-0.2354105,-0.1848315
25,1,-0.0839855,-0.306756,-0.194715
26,1,0.005941375,-0.148758,-0.1605615
27,1,-0.004384585,-0.1396305,-0.133795
28,1,0.030055,-0.05147735,-0.1034575
29,1,-0.00307164,-0.1035775,-0.0954022
30,1,-0.0761918,-0.1818995,-0.0814857
31,1,0.075722,0.07854245,-0.02544205
32,1,0.02181015,0.0416037,-0.003416265
33,1,0.141732,0.1776935,0.00437781
34,1,-0.0460853,-0.122189,-0.05236135
35,1,0.02068365,-0.04839125,-0.08185325
36,1,-0.0243097,-0.1658795,-0.12534
37,1,0.0117378,-0.1217985,-0.147661
38,1,0.05394765,-0.0993713,-0.177416
39,1,0.002638935,-0.2332335,-0.2384995
40,1,0.006365065,-0.2936835,-0.3044445
41,1,-0.0685177,-0.47676,-0.376565
42,1,-0.0899605,-0.543073,-0.4140575
43,1,-0.0719509,-0.5188845,-0.412046
44,1,-0.04223805,-0.4414335,-0.369376
45,1,-0.0560986,-0.3898615,-0.307943
46,1,-0.00496964,-0.225705,-0.2177055
47,1,0.1030555,-0.00130657,-0.132361
48,1,0.0167049,-0.05478755,-0.0884876
49,1,0.08880805,0.0674095,-0.05557695
50,1,0.04979795,0.00830185,-0.06564375
51,1,-0.05186605,-0.17567,-0.102737
52,1,0.0019241,-0.104131,-0.109918
53,1,0.0246446,-0.0719342,-0.115729
54,1,-0.08836165,-0.2493415,-0.138048
55,1,0.026372,-0.0709576,-0.1163185
56,1,0.03497895,-0.051986,-0.108884
57,1,0.0393601,-0.0610881,-0.1213565
58,1,-0.04719325,-0.2290655,-0.1571145
59,1,-0.0284721,-0.2153555,-0.1636675
60,1,0.008451135,-0.1500315,-0.162508
61,1,-0.08248095,-0.2805,-0.16654
62,1,-0.00201899,-0.134004,-0.1287925
63,1,-0.0564362,-0.1790865,-0.09666205
64,1,0.009414345,-0.01780145,-0.0344042
65,1,0.0367063,0.0827972,0.0242922
66,1,0.02724165,0.1087695,0.06277165
67,1,0.0156144,0.1222255,0.08855355
68,1,0.04684735,0.181644,0.109428
69,1,0.0104095,0.128661,0.1060865
70,1,0.01629245,0.1287185,0.0939704
71,1,0.02368185,0.119175,0.0746555
72,1,-0.0681834,-0.05149265,0.0443177
73,1,0.0322857,0.1063835,0.0498206
74,1,0.03910125,0.1052995,0.04131135
75,1,0.05016625,0.08582775,0.01221275
76,1,-0.07330525,-0.141204,-0.04632425
77,1,0.022822,-0.0301431,-0.06625415
78,1,-0.0452026,-0.172794,-0.102086
79,1,-0.01703135,-0.145589,-0.114553
80,1,-0.068878,-0.2166435,-0.120076
81,1,0.0288204,-0.0431262,-0.09053095
82,1,-0.023751,-0.1185255,-0.0766591
83,1,0.01534495,-0.023999,-0.0528048
84,1,0.00855387,-0.01713455,-0.03724625
85,1,-0.0817893,-0.132613,-0.02306165
86,1,0.143644,0.1937435,0.0279645
87,1,0.0458384,0.09029125,0.0118413
88,1,0.006802545,-0.009026505,-0.0275368
89,1,-0.05806905,-0.1593745,-0.0699224
90,1,-0.02143225,-0.1265525,-0.08073915
