time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.00055004,-0.00055004,
-27,0,-0.3140765,-0.3140765,
-26,0,-0.02868455,-0.02868455,
-25,0,-0.1771905,-0.1771905,
-24,0,0.1612065,0.1612065,
-23,0,-0.486304,-0.486304,
-22,0,-0.158356,-0.158356,
-21,0,0.000735973,0.000735973,
-20,0,0.195145,0.195145,
-19,0,0.000229738,0.000229738,
-18,0,0.156682,0.156682,
-17,0,-0.000942415,-0.000942415,
-16,0,-0.04613535,-0.04613535,
-15,0,-0.160083,-0.160083,
-14,0,0.170748,0.170748,
-13,0,0.157026,0.157026,
-12,0,0.0282058,0.0282058,
-11,0,-0.177493,-0.177493,
-10,0,-0.2939915,-0.2939915,
-9,0,-0.158053,-0.158053,
-8,0,-0.1792535,-0.1792535,
-7,0,-0.0273884,-0.0273884,
-6,0,0.0002351275,0.0002351275,
-5,0,0.1799445,0.1799445,
-4,0,0.03044255,0.03044255,
-3,0,0.159832,0.159832,
-2,0,0.1580685,0.1580685,
-1,0,0.0003770675,0.0003770675,
0,0,-0.160838,-0.160838,
1,1,-0.02220505,-0.03214825,-0.00495011
2,1,0.00497282,-0.000993262,-0.009129945
3,1,-0.128971,-0.1482675,-0.01442515
4,1,0.185986,0.178261,-0.01573865
5,1,0.22082,0.208623,-0.022264
6,1,0.0531206,0.0288315,-0.03540765
7,1,0.1825315,0.133554,-0.05119195
8,1,0.0340705,-0.02536465,-0.07465525
9,1,-0.2410415,-0.3622725,-0.1011365
10,1,-0.08016795,-0.2242315,-0.1182455
11,1,-0.070949,-0.234688,-0.132343
12,1,-0.213498,-0.3821055,-0.144346
13,1,-0.06318085,-0.240444,-0.150134
14,1,-0.0261397,-0.199049,-0.153113
15,1,-0.2474845,-0.4305255,-0.1559525
16,1,-0.06644375,-0.239784,-0.1502375
17,1,0.06532895,-0.05577205,-0.143446
18,1,0.06505615,-0.05197985,-0.13756
19,1,-0.02746905,-0.1843785,-0.137575
20,1,-0.0694517,-0.229251,-0.134919
21,1,-0.073497,-0.228285,-0.131121
22,1,0.01493845,-0.0948691,-0.1246205
23,1,0.05702115,-0.0403427,-0.117977
24,1,-0.0828546,-0.2174575,-0.1151205
25,1,-0.04098355,-0.16702,-0.110158
26,1,0.152526,0.0570912,-0.1009935
27,1,-0.09308035,-0.210931,-0.0997674
28,1,0.0430201,-0.03576045,-0.0941402
29,1,-0.09596415,-0.208121,-0.09195475
30,1,0.09594395,0.0182693,-0.0867685
31,1,-0.14814,-0.2462385,-0.08446705
32,1,0.03722635,-0.0252527,-0.07716675
33,1,-0.1094045,-0.1954855,-0.07043535
34,1,0.031016,-0.01711905,-0.06154765
35,1,0.0820439,0.0388419,-0.05510115
36,1,0.0229802,-0.01357625,-0.05021505
37,1,0.02125895,-0.0083981,-0.0446977
38,1,0.020389,-0.01001356,-0.0425529
39,1,-0.1269145,-0.177321,-0.03898765
40,1,0.0140629,-0.00743247,-0.0330547
41,1,0.1080725,0.09708405,-0.02715575
42,1,0.01060685,-0.00365885,-0.02404225
43,1,0.00974142,-0.00220443,-0.02130165
44,1,0.008689225,-0.002716405,-0.0186619
45,1,0.006188025,-0.002966975,-0.0164676
46,1,0.007089745,-0.0015445,-0.01535065
47,1,0.006534205,-0.0008388015,-0.01198355
48,1,0.00448481,-0.0008234875,-0.0104766
49,1,0.148688,0.155533,-0.00748758
50,1,0.00580346,-0.0009987425,-0.01061135
51,1,-0.03852445,-0.06386125,-0.01297655
52,1,-0.0316895,-0.0587903,-0.01467105
53,1,0.00791882,-0.00117346,-0.01449125
54,1,0.009486945,-0.001660935,-0.01476125
55,1,0.006740045,-0.002756315,-0.0146693
56,1,-0.0293933,-0.05630885,-0.01410755
57,1,0.01031255,-0.001243365,-0.0133261
58,1,0.0073627,-0.00252886,-0.0139371
59,1,-0.143698,-0.165367,-0.0127349
60,1,0.0025983,-0.0005043525,-0.007587715
61,1,0.1587685,0.1655235,-0.003831625
62,1,0.00447857,0.0007916375,-0.004852045
63,1,0.001608255,0.0001236125,-0.004156485
64,1,0.00312932,-0.0006898395,-0.004603595
65,1,0.002131725,-0.000495229,-0.00452005
66,1,0.00411904,0.00010780255,-0.00357928
67,1,0.00504666,-0.0005797645,-0.00352893
68,1,0.00319585,0.000630833,-0.003538165
69,1,0.0029174,0.0002474455,-0.00379984
70,1,0.0011316,0.000173709,-0.00214796
71,1,0.152664,0.1624,-0.001433055
72,1,0.003783435,-6.805665e-05,-0.006024325
73,1,0.00480366,-0.00184747,-0.009528515
74,1,-0.1404875,-0.164567,-0.0149383
75,1,0.008613825,-0.00229406,-0.015804
76,1,0.0073232,-0.00253649,-0.0162878
77,1,0.009154335,-0.00256658,-0.01614105
78,1,0.00830998,-0.002970265,-0.0170231
79,1,0.01022045,-0.003092615,-0.01887925
80,1,0.011226,-0.00377111,-0.02089675
81,1,0.0102788,-0.005794265,-0.0244585
82,1,-0.0168118,-0.05611825,-0.0256068
83,1,-0.1308405,-0.173217,-0.0279282
84,1,0.00996857,-0.00446775,-0.0245596
85,1,0.00916727,-0.00455635,-0.0235403
86,1,0.01098275,-0.003769425,-0.0217558
87,1,0.0428985,0.03825325,-0.01891825
88,1,0.00701969,-0.00311655,-0.01941405
89,1,0.01047515,-0.003613135,-0.02138005
90,1,-0.02160625,-0.0581595,-0.02154545
