time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,0.2203925,0.2203925,
-27,0,0.121566,0.121566,
-26,0,0.07084065,0.07084065,
-25,0,0.0350042,0.0350042,
-24,0,0.001176695,0.001176695,
-23,0,0.1707495,0.1707495,
-22,0,0.0834216,0.0834216,
-21,0,0.03800325,0.03800325,
-20,0,0.03188595,0.03188595,
-19,0,-0.0862266,-0.0862266,
-18,0,0.04037345,0.04037345,
-17,0,0.04107375,0.04107375,
-16,0,0.044023,0.044023,
-15,0,0.0878548,0.0878548,
-14,0,-0.04173875,-0.04173875,
-13,0,0.0441427,0.0441427,
-12,0,0.03862415,0.03862415,
-11,0,0.04668255,0.04668255,
-10,0,0.00334751,0.00334751,
-9,0,0.05162215,0.05162215,
-8,0,0.04328795,0.04328795,
-7,0,0.0585895,0.0585895,
-6,0,0.0963393,0.0963393,
-5,0,0.1149975,0.1149975,
-4,0,0.0950248,0.0950248,
-3,0,0.0552797,0.0552797,
-2,0,0.0789404,0.0789404,
-1,0,0.1995725,0.1995725,
0,0,0.124039,0.124039,
1,1,0.02354655,0.0655852,0.02584325
2,1,0.0599405,0.1283125,0.04411635
3,1,0.006938355,0.05658855,0.0411264
4,1,-0.001991765,0.03667795,0.03651355
5,1,0.00806644,0.0560409,0.03575245
6,1,0.112613,0.176167,0.031943
7,1,0.1237325,0.1420605,-0.01301155
8,1,-0.0276921,-0.140634,-0.0987809
9,1,-0.01836045,-0.2039135,-0.1712045
10,1,0.0240294,-0.19348,-0.232155
11,1,-0.131845,-0.476764,-0.3163745
12,1,-0.0199077,-0.3823805,-0.3476875
13,1,0.0332621,-0.3178985,-0.375091
14,1,-0.17753,-0.6313485,-0.4263685
15,1,-0.09806235,-0.543862,-0.407847
16,1,0.03400245,-0.3023665,-0.3600385
17,1,-0.07159825,-0.4306995,-0.3298515
18,1,-0.08488535,-0.3866435,-0.2720455
19,1,0.0101624,-0.1700745,-0.186256
20,1,0.02861525,-0.05862115,-0.10635
21,1,0.0610504,0.04775265,-0.0402571
22,1,0.0333713,0.06223605,0.00313175
23,1,0.0479027,0.114848,0.03453695
24,1,0.107656,0.1906405,0.04596155
25,1,-0.0054954,0.00855577,0.0187334
26,1,-0.03852785,-0.06351535,-0.00297477
27,1,0.01269,0.01528765,-0.00696044
28,1,0.00452772,-0.00701197,-0.01390235
29,1,0.06822525,0.07334875,-0.0187214
30,1,-0.0339236,-0.107576,-0.05430695
31,1,-0.0725367,-0.1705355,-0.07474735
32,1,0.01605855,-0.03410425,-0.0624791
33,1,0.02456155,-0.01590035,-0.05779995
34,1,0.0219703,-0.03146595,-0.0698399
35,1,-0.0263757,-0.134758,-0.0929547
36,1,-0.0793883,-0.2069205,-0.1015215
37,1,0.02930965,-0.0355855,-0.08383225
38,1,0.0237952,-0.03407795,-0.07622955
39,1,-0.0109586,-0.09737635,-0.0760409
40,1,-0.0287563,-0.1208545,-0.07622005
41,1,0.01824675,-0.0284393,-0.05942125
42,1,0.0164103,-0.0248444,-0.0540212
43,1,0.004079785,-0.0483482,-0.05727915
44,1,0.03986775,-0.003085005,-0.0620722
45,1,-0.106524,-0.2067335,-0.08420345
46,1,0.00640574,-0.0551319,-0.0701322
47,1,0.0346701,-0.0016387,-0.0583958
48,1,0.03667405,-0.001975315,-0.0578534
49,1,-0.0808789,-0.182414,-0.07954245
50,1,0.0213052,-0.02947635,-0.067065
51,1,0.02136655,-0.02823725,-0.06626385
52,1,-0.05652665,-0.1529495,-0.07474625
53,1,0.01634855,-0.0252519,-0.05571715
54,1,0.03894895,0.0131154,-0.0456265
55,1,0.0461936,0.008653265,-0.0550923
56,1,-0.07661495,-0.1842105,-0.0840974
57,1,-0.01757215,-0.116274,-0.0815466
58,1,0.0044069,-0.06437855,-0.07432915
59,1,0.00507932,-0.05925805,-0.06626885
60,1,0.006451715,-0.0537701,-0.06428175
61,1,-0.1083125,-0.1955675,-0.0642856
62,1,0.1186905,0.111287,-0.02436065
63,1,0.00858791,-0.0108883,-0.0257799
64,1,0.00922934,-0.01196345,-0.02995735
65,1,-0.1025785,-0.165702,-0.0411597
66,1,0.1368365,0.149784,-0.0113453
67,1,-0.06608755,-0.1198665,-0.03297115
68,1,0.0277095,0.0181383,-0.02875625
69,1,0.0107305,-0.0144663,-0.035548
70,1,-0.0008929865,-0.05320515,-0.04938815
71,1,0.00407976,-0.05386965,-0.06484
72,1,-0.09947955,-0.202953,-0.07874685
73,1,0.00694832,-0.0455534,-0.05813595
74,1,0.00166767,-0.03181635,-0.03944115
75,1,0.008703715,-0.013355,-0.02644055
76,1,-0.00157643,-0.017638,-0.0162119
77,1,0.000147678,-0.004247305,-0.00367329
78,1,0.1164175,0.147838,0.01082385
79,1,-0.1034245,-0.1407115,-0.01918555
80,1,0.004093865,-0.002818075,-0.00998465
81,1,0.1160745,0.138393,-0.00233961
82,1,0.006143155,-0.02472125,-0.0361766
83,1,-0.08994395,-0.187527,-0.0738783
84,1,-0.07838085,-0.179924,-0.0749879
85,1,0.01568215,-0.0234058,-0.0511303
86,1,0.01100385,-0.0114774,-0.0313655
87,1,0.007290355,-0.00259224,-0.0157544
88,1,0.1233725,0.140516,-0.00522416
89,1,-0.09653055,-0.160099,-0.03641785
90,1,0.009336265,-0.01437,-0.030152
