time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.1299865,-0.1299865,
-27,0,-0.01442465,-0.01442465,
-26,0,0.0001680045,0.0001680045,
-25,0,-0.1312395,-0.1312395,
-24,0,-0.1282275,-0.1282275,
-23,0,-0.1539775,-0.1539775,
-22,0,0.130057,0.130057,
-21,0,-0.003480355,-0.003480355,
-20,0,-0.2547955,-0.2547955,
-19,0,-0.1318785,-0.1318785,
-18,0,0.1445155,0.1445155,
-17,0,-0.124289,-0.124289,
-16,0,-3.37946e-05,-3.37946e-05,
-15,0,-0.1239815,-0.1239815,
-14,0,-0.1437375,-0.1437375,
-13,0,0.145916,0.145916,
-12,0,-0.0939376,-0.0939376,
-11,0,-0.231389,-0.231389,
-10,0,-0.0704801,-0.0704801,
-9,0,-0.0002730085,-0.0002730085,
-8,0,-0.2573665,-0.2573665,
-7,0,-0.157267,-0.157267,
-6,0,-0.1079355,-0.1079355,
-5,0,-0.1569765,-0.1569765,
-4,0,-0.1576095,-0.1576095,
-3,0,0.157776,0.157776,
-2,0,-0.154531,-0.154531,
-1,0,-0.04533875,-0.04533875,
0,0,-0.0006515405,-0.0006515405,
1,1,0.08778905,0.080927,-0.01043265
2,1,0.01366365,-0.00515508,-0.0230014
3,1,-0.1156215,-0.1672255,-0.0374339
4,1,0.0263073,-0.01466185,-0.04945
5,1,0.1552605,0.1019755,-0.06098875
6,1,-0.24117,-0.329837,-0.08012965
7,1,-0.06305855,-0.1671855,-0.087718
8,1,0.182334,0.09713595,-0.0918547
9,1,0.05970295,-0.0322643,-0.1072785
10,1,-0.1630645,-0.305998,-0.1249535
11,1,-0.1455895,-0.3025475,-0.1360815
12,1,0.1060955,-0.0162376,-0.1402525
13,1,-0.1583015,-0.324843,-0.149164
14,1,0.0862721,-0.04853515,-0.1518225
15,1,-0.03797475,-0.2139785,-0.1597975
16,1,-0.008199085,-0.1801365,-0.1665655
17,1,-0.290669,-0.4794955,-0.174108
18,1,-0.1430625,-0.333165,-0.167446
19,1,0.0859854,-0.0472719,-0.1523825
20,1,-0.128033,-0.2932975,-0.1447525
21,1,-0.057796,-0.207902,-0.1303225
22,1,0.0655912,-0.0341041,-0.115462
23,1,-0.0752136,-0.1961755,-0.1023665
24,1,0.0490572,-0.02626545,-0.08645995
25,1,0.0395547,-0.0202041,-0.0719765
26,1,-0.0655535,-0.141751,-0.06113235
27,1,0.02468275,-0.0114532,-0.04828235
28,1,0.1615055,0.1427025,-0.03410315
29,1,0.01524,-0.00578697,-0.0281963
30,1,0.118756,0.1149175,-0.0223807
31,1,0.0472935,0.0425568,-0.02200415
32,1,0.01242495,-0.00479888,-0.02345985
33,1,0.01338115,-0.00484488,-0.02468705
34,1,-0.08499695,-0.124392,-0.02767095
35,1,0.0129552,-0.007146695,-0.02598865
36,1,-0.08158325,-0.120866,-0.0250589
37,1,0.01116475,-0.004499135,-0.0209098
38,1,0.009697945,-0.002881725,-0.0163239
39,1,0.104822,0.1063515,-0.0123188
40,1,0.00760043,-0.002977405,-0.01443215
41,1,0.008089155,-0.00330303,-0.01434925
42,1,0.007803955,-0.004192275,-0.0158748
43,1,0.00780474,-0.00525273,-0.01719335
44,1,0.00935379,-0.00541793,-0.0203223
45,1,-0.08206915,-0.118503,-0.02252505
46,1,0.0101726,-0.005820435,-0.0210787
47,1,-0.0798529,-0.113206,-0.01911615
48,1,0.007632085,-0.003629315,-0.01386775
49,1,0.160231,0.161733,-0.009358995
50,1,-0.1441435,-0.170574,-0.0134847
51,1,0.159976,0.1625655,-0.009880725
52,1,0.100846,0.1018535,-0.0136905
53,1,-0.2423885,-0.2722645,-0.0228931
54,1,0.010872,-0.00342761,-0.02126035
55,1,0.008540685,-0.00503229,-0.0185922
56,1,0.009587095,-0.00440131,-0.01894085
57,1,0.00889718,-0.005465625,-0.0189586
58,1,0.009320045,-0.003856655,-0.01754805
59,1,-0.141959,-0.174291,-0.0179389
60,1,0.006517185,-0.003687605,-0.01360845
61,1,0.007166245,-0.000856508,-0.00911398
62,1,0.001230155,-0.00233854,-0.00440217
63,1,0.0006046565,0.000372262,-0.001555445
64,1,-0.00126087,0.000723801,0.001452265
65,1,-0.00255163,0.001971525,0.005142015
66,1,-0.003253465,0.00222934,0.008637025
67,1,0.0873479,0.115644,0.01325595
68,1,-0.008755925,0.003872665,0.0135558
69,1,-0.00590455,0.004343285,0.01436915
70,1,0.0890924,0.1216925,0.01560975
71,1,-0.005634165,0.00321457,0.01180935
72,1,-0.004397935,0.00270384,0.00984815
73,1,-0.00297274,0.002061055,0.007882015
74,1,-0.1046245,-0.112575,0.005320375
75,1,-0.00458924,0.00197595,0.00924922
76,1,0.1430435,0.167737,0.01267985
77,1,-0.004440895,0.00203827,0.00823811
78,1,-0.154328,-0.1649435,0.005045555
79,1,-0.005372875,0.00104796,0.008028705
80,1,-0.00717969,0.001828375,0.01131335
81,1,-0.007720975,0.002808635,0.01406865
82,1,-0.01092165,0.0052075,0.01905885
83,1,0.1326425,0.1729365,0.0243162
84,1,-0.0121511,0.00464109,0.02323655
85,1,-0.0134054,0.005638735,0.0219157
86,1,-0.01165185,0.006130325,0.02312025
87,1,-0.01167665,0.00511786,0.02479355
88,1,-0.01301625,0.006213935,0.02572715
89,1,0.07625755,0.1251165,0.02730265
90,1,-0.01363465,0.005254955,0.0259694
