time,ex,w_50%,alpha_50%,b_ex_50%
-28,0,-0.120326,-0.120326,
-27,0,-0.121129,-0.121129,
-26,0,-0.121923,-0.121923,
-25,0,-0.04822845,-0.04822845,
-24,0,-0.195048,-0.195048,
-23,0,0.00133022,0.00133022,
-22,0,-0.118162,-0.118162,
-21,0,-0.193454,-0.193454,
-20,0,-0.1160035,-0.1160035,
-19,0,-0.001916525,-0.001916525,
-18,0,0.0014836,0.0014836,
-17,0,-0.1178,-0.1178,
-16,0,-0.0730535,-0.0730535,
-15,0,-9.16281e-05,-9.16281e-05,
-14,0,-0.04839225,-0.04839225,
-13,0,-0.1918965,-0.1918965,
-12,0,0.0672264,0.0672264,
-11,0,0.1496535,0.1496535,
-10,0,0.0735796,0.0735796,
-9,0,-0.0362907,-0.0362907,
-8,0,-0.113039,-0.113039,
-7,0,-5.010465e-05,-5.010465e-05,
-6,0,-0.195367,-0.195367,
-5,0,-0.1551825,-0.1551825,
-4,0,-0.1925125,-0.1925125,
-3,0,-0.149271,-0.149271,
-2,0,-0.0674416,-0.0674416,
-1,0,-0.1145025,-0.1145025,
0,0,-0.262884,-0.262884,
1,1,0.192314,0.1995725,-0.000191081
2,1,0.002241165,-0.00428932,-0.01108285
3,1,0.006431765,-0.0102292,-0.0222612
4,1,-0.001141415,-0.0357792,-0.0342675
5,1,-0.03813475,-0.09653085,-0.0471074
6,1,0.01970805,-0.02330515,-0.0558798
7,1,-0.0279489,-0.1077775,-0.0671425
8,1,0.0285272,-0.034021,-0.0757513
9,1,0.158487,0.0822602,-0.0851314
10,1,-0.1333165,-0.2525405,-0.1047425
11,1,0.1058305,0.004258415,-0.11625
12,1,0.0560882,-0.06633475,-0.1350545
13,1,-0.101352,-0.277735,-0.1612985
14,1,-0.0304221,-0.2256495,-0.177602
15,1,-0.02522635,-0.234604,-0.1933325
16,1,-0.1373125,-0.3641055,-0.207259
17,1,-0.07612865,-0.308667,-0.210097
18,1,0.03309135,-0.163957,-0.2083315
19,1,0.0355541,-0.1603735,-0.2094985
20,1,-0.0805182,-0.3121585,-0.2136735
21,1,0.165943,-0.0351057,-0.2112805
22,1,-0.07402735,-0.3154715,-0.2222925
23,1,0.0996272,-0.114222,-0.225698
24,1,0.0379164,-0.1871155,-0.239936
25,1,-0.1807635,-0.454759,-0.254029
26,1,-0.0559649,-0.33784,-0.260257
27,1,0.114991,-0.1294295,-0.2593665
28,1,-0.0384378,-0.32845,-0.2704555
29,1,-0.119527,-0.418752,-0.2747705
30,1,-0.1018845,-0.4047095,-0.273107
31,1,-0.248023,-0.532317,-0.2645845
32,1,0.05390085,-0.174347,-0.241384
33,1,-0.253125,-0.485401,-0.2234925
34,1,0.08353365,-0.0955822,-0.191429
35,1,0.1437175,-0.00185402,-0.162808
36,1,0.06064145,-0.064126,-0.1458555
37,1,0.0526696,-0.05990065,-0.1323395
38,1,0.125339,0.0228699,-0.1219305
39,1,-0.0887777,-0.2191425,-0.121148
40,1,0.119924,0.02249495,-0.1117555
41,1,-0.01738525,-0.1376,-0.1101215
42,1,0.0441239,-0.04928175,-0.1078835
43,1,-0.05899175,-0.184074,-0.108013
44,1,0.04079695,-0.04629405,-0.104978
45,1,0.0409521,-0.0471295,-0.1037375
46,1,-0.0584041,-0.1820605,-0.1045605
47,1,0.03806665,-0.04645305,-0.102751
48,1,-0.0574476,-0.17824,-0.105067
49,1,-0.141008,-0.2551575,-0.101921
50,1,0.1501995,0.0751681,-0.0881959
51,1,-0.02887465,-0.127503,-0.0852166
52,1,0.0273173,-0.039395,-0.08018505
53,1,-0.1509965,-0.24043,-0.07990475
54,1,0.22152,0.161782,-0.067306
55,1,-0.03078285,-0.115129,-0.06841845
56,1,-0.0276598,-0.110955,-0.06921885
57,1,0.02470465,-0.02915265,-0.065261
58,1,-0.153692,-0.2284425,-0.06481975
59,1,0.0192424,-0.0224855,-0.0548461
60,1,0.01833245,-0.0163075,-0.04440165
61,1,0.012283,-0.0151243,-0.03677825
62,1,0.07430935,0.06737295,-0.0299612
63,1,0.00951083,-0.01082135,-0.0269025
64,1,-0.05052635,-0.09240665,-0.0251713
65,1,0.01022795,-0.00378473,-0.02034205
66,1,0.0668963,0.0694782,-0.01519375
67,1,0.004383275,-0.008127315,-0.01659765
68,1,-0.05671205,-0.0849259,-0.01526375
69,1,0.005526475,-0.00246172,-0.01175705
70,1,0.117585,0.1262635,-0.00956809
71,1,0.004047565,-0.004881395,-0.01413875
72,1,-0.0369525,-0.06453545,-0.0181203
73,1,0.007765975,-0.006242735,-0.0201615
74,1,0.008592895,-0.006421835,-0.02203385
75,1,0.00937234,-0.01008515,-0.0242556
76,1,0.009212465,-0.01199335,-0.02676905
77,1,-0.0960051,-0.1418095,-0.0308441
78,1,0.01001145,-0.0111635,-0.0280271
79,1,0.00739194,-0.01241235,-0.025842
80,1,0.008228105,-0.011006,-0.0252579
81,1,0.008785955,-0.0116868,-0.02662345
82,1,0.00775839,-0.010971,-0.0270479
83,1,0.0115108,-0.0109507,-0.028139
84,1,0.00821652,-0.0135297,-0.02972445
85,1,-0.0983337,-0.1479285,-0.03426095
86,1,0.01075305,-0.01346495,-0.03119165
87,1,0.01054455,-0.0112362,-0.02965465
88,1,0.008395885,-0.0116919,-0.02649695
89,1,0.00708315,-0.00978104,-0.02552015
90,1,0.00669543,-0.007617765,-0.0247881
